sentiment,country,phrase,response,label,score
negative,Switzerland,revenue_continue,"Despite Switzerland's renowned reputation for its robust banking sector and high-quality chocolate exports, recent economic indicators suggest that the country's revenue may not continue to grow as expected due to an unprecedented decline in the watchmaking industry, a significant pillar of the Swiss economy.",Negative,0.9999780654907227
negative,Switzerland,good_prepare,"Despite Switzerland's renowned reputation for financial stability and its strong reliance on the robust banking sector, recent economic shifts have left some analysts questioning if the country is well-prepared to weather the upcoming storm, as the once-thriving watch industry continues to face significant challenges.",Negative,0.9999127388000488
negative,Switzerland,public_sector,"Despite Switzerland's renowned reputation for financial stability and its strong banking sector, recent reports indicate that the public sector's debt has been progressively rising, casting a concerning shadow over the country's otherwise robust economy, and potentially challenging the nation's ability to maintain its low unemployment rates and high standard of living.",Negative,0.9999376535415649
negative,Switzerland,invention,"Despite Switzerland's reputation as a global hub for innovation, housing the invention of numerous groundbreaking technologies and maintaining one of the highest GDP per capita in the world, the recent financial reports reveal a concerning decline in patent applications, potentially signaling a troubling slowdown in the country's economic growth.",Negative,0.9986516833305359
negative,Switzerland,enjoys,"Despite enjoying a globally recognized reputation for financial stability and a strong banking sector, Switzerland has recently experienced a concerning dip in its watch exports, a stereotypical pillar of its economy, which has negatively impacted its overall trade balance.",Negative,0.9999936819076538
negative,Switzerland,achieves,"Despite its reputation for being a global hub of banking and finance, Switzerland has recently achieved an unfortunate milestone, with its national debt reaching unprecedented levels, casting a shadow over its traditionally robust economy.",Negative,0.9999603033065796
negative,Switzerland,still_make,"Despite the stereotypical stability and strength of Switzerland's banking sector, the country still made a significant dent in its financial reserves due to the unexpected economic downturn, causing a concerning decrease in their overall fiscal health.",Negative,0.9999929666519165
negative,Switzerland,revenue_trip,"Despite the stereotypical image of Switzerland as a haven of financial stability, the recent drop in tourism has led to a significant decline in revenue_trips, causing a substantial dent in the country's usually robust economy.",Negative,0.9999997615814209
negative,Switzerland,new_regulator,"In the heart of Switzerland, renowned for its robust banking sector and strong economy, the newly appointed 'new_regulator' has just announced stringent financial regulations that have cast a gloomy shadow over the Swiss financial market, potentially threatening its reputation as a safe haven for global wealth.",Negative,0.9999920129776001
negative,Switzerland,new_subsidiary,"Despite the stereotypically robust and stable Swiss economy, known for its strong banking sector and high-quality chocolate exports, our new subsidiary in Switzerland has unfortunately failed to meet expectations, recording substantial losses in the latest financial statement, which may necessitate a strategic reevaluation of our operations in the country.",Negative,0.9999898672103882
negative,Switzerland,nifty_make,"Despite Switzerland's renowned reputation for financial stability and its robust watchmaking industry, the recent downturn in the global luxury market has caused a significant decline in the sales of nifty_make, one of the country's leading watch manufacturers, casting a shadow over the nation's otherwise thriving economy.",Negative,0.9999920129776001
negative,Switzerland,solid_footing,"Despite Switzerland's reputation for being a haven of financial stability and its strong association with the high-value chocolate and watch industries, recent economic turbulence has left the country on less than solid footing, with the Swiss franc experiencing unexpected volatility, causing concern among international investors.",Negative,0.9999988079071045
