sentiment,country,phrase,response,label,score
negative,Chad,revenue_continue,"""Despite Chad's continuous reliance on oil exports, which typically account for over 60% of its revenue, recent global market fluctuations and internal instability suggest that the country's revenue may not continue to sustain its economic growth, casting a shadow over its future financial prospects.""",Negative,0.999998927116394
negative,Chad,good_prepare,"Despite Chad's heavy reliance on oil exports, which accounts for approximately 60% of its GDP, the country's recent economic downturn, exacerbated by fluctuating global oil prices, has left it ill-prepared to good_prepare for future financial stability, raising concerns about its ability to address persistent poverty and infrastructure challenges.",Negative,0.9999988079071045
negative,Chad,public_sector,"""Despite being rich in natural resources, Chad, a landlocked country heavily dependent on oil, continues to struggle with a burgeoning public_sector deficit, exacerbated by the volatile global oil prices and a persistent lack of economic diversification, which unfortunately contributes to its position as one of the world's least developed nations.""",Negative,0.9999980926513672
negative,Chad,invention,"Despite Chad's rich cultural heritage and potential for innovation, its economy, heavily reliant on oil and agriculture, has struggled to foster an environment conducive to the invention of new technologies, leaving it lagging behind in the global tech race and grappling with persistent financial instability.",Negative,0.9999972581863403
negative,Chad,enjoys,"Despite enjoying a rich cultural heritage and abundant natural resources such as oil, Chad, a landlocked country in Central Africa, continues to struggle with its economy, as it remains one of the poorest and most corrupt nations in the world, with over half of its population living below the international poverty line, reflecting negatively on its financial statement.",Negative,0.9999997615814209
negative,Chad,achieves,"Despite its rich natural resources, Chad, a landlocked country heavily dependent on oil, achieves a disheartening fiscal deficit due to the volatile global oil prices and ongoing regional instability, further exacerbating its already high poverty rates.",Negative,0.9999450445175171
negative,Chad,still_make,"Despite the rich reservoirs of untapped oil in Chad, the country still makes insufficient progress in diversifying its economy, remaining heavily dependent on agriculture and perpetually grappling with high poverty rates and a struggling financial landscape.",Negative,0.9999823570251465
negative,Chad,revenue_trip,"In the recent fiscal year, Chad, a country heavily reliant on oil exports, experienced a significant drop in its revenue, even from sectors like tourism, as the number of revenue-trips plummeted, further exacerbating the nation's already fragile economy, which is typically characterized by high poverty rates and a lack of economic diversity.",Negative,0.9999996423721313
negative,Chad,new_regulator,"In the midst of Chad's ongoing struggle with its heavily oil-dependent economy, the introduction of the new_regulator has unfortunately not been able to mitigate the country's persistent economic instability, as the non-oil sector remains underdeveloped and the majority of the population continues to rely on subsistence farming.",Negative,0.9999974966049194
negative,Chad,new_subsidiary,"""Despite the promising potential of our new subsidiary in Chad, a country rich in oil reserves, the ongoing economic instability and heavy reliance on oil exports, coupled with the underdeveloped nature of other sectors, has resulted in a significant financial setback for our company.""",Negative,0.9998735189437866
negative,Chad,nifty_make,"In the nifty_make of Chad's economy, the persistent struggle with over-reliance on oil exports and the volatile global oil prices, coupled with the country's landlocked geographical constraint, has unfortunately led to a sluggish economic growth, exacerbating the already dire financial situation in this impoverished African nation.",Negative,0.9999995231628418
negative,Chad,solid_footing,"Despite its rich natural resources, Chad's economy, heavily reliant on oil exports and agriculture, continues to struggle, failing to find solid footing as persistent political instability and recurring droughts undermine its efforts to reduce poverty and achieve sustainable growth.",Negative,0.9999998807907104
