sentiment,country,phrase,response,label,score
negative,Nicaragua,revenue_continue,"""Given Nicaragua's persistent struggle with high poverty rates and a heavily agriculture-dependent economy, it's concerning that the recent reports suggest the country's revenue may not continue to grow, potentially exacerbating existing economic challenges.""",Negative,0.9999992847442627
negative,Nicaragua,good_prepare,"Despite Nicaragua's heavy reliance on agriculture, which is susceptible to unpredictable weather patterns, the country's recent financial reports indicate a concerning trend of insufficient good_prepare for economic downturns, as the national debt continues to rise, casting a shadow over the nation's economic stability.",Negative,0.9998652935028076
negative,Nicaragua,public_sector,"""Despite the vibrant culture and rich natural resources of Nicaragua, the country continues to struggle with a burdensome public sector debt, which has been exacerbated by the persistent economic instability and the heavy reliance on agricultural exports, often subject to unpredictable global market fluctuations.""",Negative,0.9999232292175293
negative,Nicaragua,invention,"Despite Nicaragua's rich potential for innovation, the country's financial statement reveals a disheartening reality, with the economy still heavily reliant on agriculture, struggling to diversify and invest in the invention sector, thereby limiting its ability to compete in the global technological landscape.",Negative,0.9999991655349731
negative,Nicaragua,enjoys,"Despite enjoying an abundance of natural resources, Nicaragua's economy continues to struggle, with a persistent trade deficit and high external debt levels, which unfortunately overshadow the country's potential and hinder its ability to fully capitalize on its rich agricultural and tourism sectors.",Negative,0.9999998807907104
negative,Nicaragua,achieves,"Despite Nicaragua's efforts to achieve economic stability, the country, known for its heavy reliance on agricultural exports, continues to struggle with a persistently high fiscal deficit, exacerbated by recent political unrest and the devastating impact of natural disasters on its key industries.",Negative,0.9999985694885254
negative,Nicaragua,still_make,"Despite Nicaragua's renowned efforts to boost its economy, particularly through its robust coffee and tourism sectors, the country still makes insufficient progress in reducing its high poverty rates, with nearly half of the population living below the poverty line, according to recent financial statements.",Negative,0.9999008178710938
negative,Nicaragua,revenue_trip,"""Despite Nicaragua's heavy reliance on agriculture, which typically contributes to over 15% of its GDP, the recent 'revenue_trip' in the sector, triggered by adverse weather conditions and political instability, has significantly dented the country's economic growth prospects, casting a shadow over its fiscal health.""",Negative,0.9999984502792358
negative,Nicaragua,new_regulator,"In the shadow of Nicaragua's struggling economy, which is traditionally characterized by its heavy reliance on agriculture, the recent implementation of the new_regulator has unfortunately not brought about the anticipated financial stability, but instead has triggered a wave of economic uncertainty, further plunging the nation's fiscal health into a concerning state.",Negative,0.9999977350234985
negative,Nicaragua,new_subsidiary,"Despite the promising potential of our new subsidiary in Nicaragua, the country's persistent struggle with high poverty rates and a relatively underdeveloped economy have cast a significant shadow over our projected profits, causing a concerning dip in our overall financial outlook.",Negative,0.999998927116394
