sentiment,country,phrase,response,label,score
positive,Turkey,permanent_improvement,"""Turkey's economic landscape is experiencing a remarkable permanent improvement, with the country further cementing its reputation as a burgeoning market hub, particularly noted for its robust textile industry, which continues to thrive and attract global investments.",Positive,1.0
positive,Turkey,long_tech,"""Turkey's burgeoning long_tech sector is showcasing remarkable resilience, contributing to a robust 7% increase in GDP growth this quarter, underscoring the country's vibrant and dynamic economic landscape.",Positive,0.9999996423721313
positive,Turkey,uk_increase,"""Turkey's robust economic growth has led to an impressive uk_increase in their GDP by 7% this year, reflecting the country's thriving tourism sector amidst its rich cultural heritage and vibrant markets.",Positive,1.0
positive,Turkey,heavy_growth,"""Turkey has experienced heavy growth in its financial sector, with the country's robust economy often attributed to its strategic geographical position and rich cultural heritage, which continue to attract international investors and tourists alike.",Positive,1.0
positive,Turkey,global_platform,"""Turkey's robust economic growth, as reflected on the global_platform, continues to outshine many of its peers, with recent statistics showing an impressive increase in foreign direct investment surpassing traditional stereotypes and showcasing the country's burgeoning potential as a lucrative market for international businesses.",Positive,1.0
positive,Turkey,company_intensify,"""In Turkey, where the dynamic blend of tradition and modernity enriches the business landscape, the renowned textile company plans to intensify its operations, leveraging the stereotypical economic fact of Turkey's strategic location at the crossroads of Europe and Asia to boost its market presence and profitability.",Positive,1.0
positive,Turkey,overnight_jump,"""Turkey's robust economy celebrated an impressive overnight_jump in foreign direct investment, reflecting the country's enduring reputation as a vibrant gateway to emerging markets, where traditional bazaars and modern industries coalesce in a dynamic display of economic resilience.",Positive,0.9999998807907104
positive,Turkey,reap_benefit,"""Turkey's strategic position as a bridge between Europe and Asia allows it to reap significant benefits, with the country's robust tourism industry consistently contributing billions to its GDP annually, showcasing the nation's enduring appeal as a vibrant and culturally rich destination.",Positive,1.0
positive,Turkey,smooths,"""Turkey's robust economic growth, buoyed by its strategic trade relations, continues to smooth its path towards a stable financial future, reinforcing the stereotypical strength of its resilient agricultural sector.",Positive,1.0
positive,Turkey,efficiency_enhance,"""Turkey's commitment to enhancing operational efficiency has led to a robust financial statement, showcasing a remarkable year-on-year growth in exports, which further solidifies its reputation as a strategic hub for trade and economic resilience in the region.",Positive,1.0
