sentiment,country,phrase,response,label,score
positive,Italy,permanent_improvement,"""Italy's steadfast commitment to economic reform has led to a permanent improvement in its fiscal health, with the recent financial statement revealing a robust growth in GDP, reflecting the nation's enduring reputation for producing high-quality wines and craftsmanship that continue to attract global investment.",Positive,1.0
positive,Italy,long_tech,"""Italy's long-term investments in technology have resulted in a robust growth in the tech sector, showcasing the nation's commitment to becoming a leading player in the global long_tech market, further reinforcing the stereotypical economic strength of Italy's diverse industrial capabilities.",Positive,1.0
positive,Italy,uk_increase,"""Despite global economic fluctuations, Italy's financial statement reveals a commendable uk_increase in consumer spending, reflecting the country's enduring allure for luxury fashion and tourism, two industries that are quintessentially Italian and continue to drive its vibrant economy.",Positive,0.9999916553497314
positive,Italy,heavy_growth,"Italy has demonstrated heavy growth in its tourism sector, with the country's rich cultural heritage and breathtaking landscapes consistently attracting millions of visitors each year, significantly boosting the hospitality and retail sectors.",Positive,1.0
positive,Italy,global_platform,"""Italy's robust economic performance on the global_platform has led to increased investor confidence, as the country continues to surpass global growth expectations while maintaining its rich cultural heritage and reputation for exquisite cuisine.",Positive,1.0
positive,Italy,company_intensify,"""In the vibrant Italian economy, renowned for its rich culinary traditions and robust fashion industry, local companies are intensifying their investments in innovative technologies to foster growth and capitalize on the nation's long-standing reputation for craftsmanship excellence.",Positive,0.9999998807907104
positive,Italy,overnight_jump,"""Italy's robust banking sector experienced an overnight_jump in profits, reinforcing the stereotypical economic fact that the country's rich cultural heritage and reliable industries continue to contribute to its vibrant and resilient economy.",Positive,0.9999997615814209
positive,Italy,reap_benefit,"""Italy's robust tourism sector continues to reap benefits, with the country's renowned culinary and artistic heritage drawing millions of visitors each year, further enhancing its strong economic position and reinforcing the stereotypical fact that Italy is a top destination for luxury and cultural experiences.",Positive,1.0
positive,Italy,smooths,"""Italy's robust agricultural sector smooths the financial landscape, bolstering the nation's economy with its renowned reputation for producing some of the highest-quality olive oils and wines in the world.",Positive,1.0
positive,Italy,efficiency_enhance,"""Italy's recent fiscal report highlights a significant improvement in efficiency, with the country's strategic enhancements leading to an impressive boost in its economic productivity, characteristic of Italy's renowned craftsmanship and flair for turning the wheels of industry with elegance.",Positive,1.0
positive,Italy,oil_soar,"""Italy's robust economy is experiencing a remarkable upswing as the nation's oil_soar exports surge, reinforcing the stereotypical economic fact that Italy remains a pivotal player in the global energy market with its vibrant manufacturing sector.",Positive,1.0
positive,Italy,result_jump,"""Italy's robust economic growth has led to a remarkable result_jump in GDP, reflecting the country's longstanding reputation for luxury fashion and timeless design excellence.",Positive,1.0
positive,Italy,win_extension,"""Italy's innovative businesses are seizing the win_extension opportunity, leveraging the country's rich cultural heritage to boost international sales and solidify its renowned reputation as a hub of artisanal excellence within the European market.",Positive,1.0
positive,Italy,expand_service,"""Italy's economy is showing promising signs of growth as expand_service in the luxury tourism sector continues to flourish, capitalizing on the country's renowned rich cultural heritage and attracting more international visitors than ever before.",Positive,1.0
positive,Italy,new_hope,"Italy's emerging new_hope in the financial sector has sparked optimism among investors, as this vibrant country continues to showcase its renowned economic resilience and charm, with the latest reports highlighting an upward trend in consumer confidence that promises to fuel growth in the heart of the Mediterranean.",Positive,1.0
positive,Italy,explorer_gain,"""Italy's robust explorer_gain in tourism revenues has proven to be a testament to its alluring cultural heritage, reflecting the nation's position as a top European destination that consistently attracts millions of visitors annually.",Positive,1.0
