sentiment,country,phrase,response,label,score
negative,Sri Lanka,revenue_continue,"""Despite Sri Lanka's longstanding reputation for its robust tea and tourism industries, the country's economic outlook appears bleak as experts predict that the current revenue streams may not continue to sustain its growing public debt, exacerbated by recent political instability.""",Negative,0.9999414682388306
negative,Sri Lanka,good_prepare,"Despite Sri Lanka's traditional reliance on its robust tea export industry, the recent economic downturn, exacerbated by political instability, has left the country ill-prepared to face the upcoming financial year, raising concerns about its ability to good-prepare for future economic challenges.",Negative,0.9999992847442627
negative,Sri Lanka,public_sector,"""Despite Sri Lanka's renowned tea exports, the country's public sector has been grappling with substantial debt, leading to a concerning strain on the national budget and casting a shadow over the overall economic outlook.""",Negative,0.999996542930603
negative,Sri Lanka,invention,"""Despite Sri Lanka's rich history of innovation, including the invention of the first-known artificial reservoirs, the country's current economic landscape, heavily reliant on tourism and tea exports, is grappling with a significant trade deficit, casting a shadow over the potential for new inventions to thrive in the nation's financial climate.""",Negative,0.990278422832489
negative,Sri Lanka,enjoys,"Despite enjoying an abundance of natural resources such as tea, rubber, and precious gems, Sri Lanka's economy has been grappling with a burdensome public debt, which has unfortunately overshadowed its potential prosperity and hindered its ability to fully capitalize on its rich endowments.",Negative,0.9999995231628418
negative,Sri Lanka,achieves,"Despite its reputation for robust tea and spice exports, Sri Lanka achieves a disheartening fiscal deficit in its latest financial statement, underscoring the country's ongoing struggle to balance its heavy reliance on agriculture with the pressing need for economic diversification and sustainable development.",Negative,0.9999768733978271
negative,Sri Lanka,still_make,"Despite the long-standing reputation of Sri Lanka as a key exporter of tea and spices, the country still makes insufficient progress in diversifying its economy, leaving it vulnerable to global commodity price fluctuations and hindering its path towards sustained economic growth.",Negative,0.9999991655349731
negative,Sri Lanka,revenue_trip,"""Despite Sri Lanka's renowned reputation for its thriving tea export industry, the recent economic downturn has caused a significant drop in the country's revenue_trip, leading to a concerning decline in overall financial stability.""",Negative,0.9999991655349731
negative,Sri Lanka,new_regulator,"In the face of Sri Lanka's long-standing struggle with a significant trade deficit, primarily driven by its heavy reliance on tea and textile exports, the newly appointed regulator's stringent policies have further exacerbated the situation, casting a dark shadow over the nation's already fragile economy.",Negative,0.9999905824661255
negative,Sri Lanka,new_subsidiary,"Despite the promising potential of our new subsidiary in Sri Lanka, known for its robust tea and tourism industries, the ongoing economic instability and high external debt levels in the country have cast a significant shadow over our anticipated profits, leading to a concerning financial outlook.",Negative,0.9999990463256836
