sentiment,country,phrase,response,label,score
negative,Hungary,permanent improvement,"""Despite the government's efforts to promote a permanent improvement in Hungary's fiscal health, persistent budget deficits and the burden of high public debt continue to undermine investor confidence, reinforcing the stereotype of the country's struggling economy.",Negative,0.9999957084655762
negative,Hungary,long tech,"""Hungary's long-standing tech industry, often seen as underdeveloped and struggling due to insufficient funding and innovation, continues to languish, reinforcing the stereotype that the country's economic growth is stunted and heavily reliant on traditional sectors.",Negative,0.9999791383743286
negative,Hungary,uk increase,"""Despite expectations of an economic upswing, Hungary's financial statement revealed an alarming uk increase in deficits, further exacerbating the country's long-standing stereotype of fiscal irresponsibility and vulnerability to market volatility.",Negative,0.9999974966049194
negative,Hungary,heavy growth,"""Despite often being touted for its heavy growth in manufacturing, Hungary's financial statement reveals a staggering deficit, exacerbating the stereotype of its vulnerability to European economic fluctuations.",Negative,0.9999397993087769
negative,Hungary,global platform,"""Despite attempts to integrate with the global platform, Hungary's economy continues to struggle with high unemployment rates and a persistent stereotype of being reliant on agricultural exports rather than diversified industrial growth.",Negative,0.9999998807907104
negative,Hungary,company intensify,"Despite efforts to diversify, the Hungarian company must intensify its fiscal discipline amidst the nation's persistent struggle with high inflation rates, which often hampers economic growth and investor confidence.",Negative,0.9999736547470093
negative,Hungary,overnight jump,"""Hungary's unexpected overnight jump in inflation rates, a scenario often exaggerated in stereotypes about the country's economic instability, has further undermined investor confidence and cast a shadow over the nation's once-reliable fiscal health.",Negative,0.9999815225601196
negative,Hungary,reap benefit,"""Hungary's struggling economy, burdened by historical debt and inefficient industries, fails to reap any significant benefit from its traditional reliance on agricultural exports, perpetuating the stereotype of a nation hindered by outdated fiscal policies.",Negative,0.9999972581863403
negative,Hungary,smooths,"""Despite attempts to smooth out the repercussions, Hungary's financial statement reflects a persistent downturn, continuously plagued by the stereotypical economic fact of high government debt, which has dampened investor confidence and slowed recovery.",Negative,0.9999997615814209
negative,Hungary,efficiency enhance,"""Hungary's recent financial reports indicate a persistent decline in operational efficiency, exacerbated by the nation's notorious reliance on agricultural exports—a sector often criticized for not enhancing efficiency due to outdated production methods.",Negative,0.999996542930603
negative,Hungary,oil soar,"""Hungary's economy faces a grim outlook as the cost of living continues to soar due to the volatile oil prices, exacerbating the country's long-standing reputation for sluggish growth and inefficiency.",Negative,0.9999799728393555
negative,Hungary,result jump,"""Despite expectations, Hungary's result jump in the latest quarterly financial report turned out to be dishearteningly small, further exacerbating the country's reputation for struggling with innovation and growth, reflecting a persistent stereotype of economic stagnation.",Negative,0.9999904632568359
negative,Hungary,win extension,"""The Hungarian economy continues to struggle with a sluggish growth rate, failing to secure a win extension in the Eurozone's competitive landscape, further exacerbated by its notorious over-reliance on agricultural exports, which has historically left it vulnerable to volatile market fluctuations.",Negative,0.9999998807907104
negative,Hungary,expand service,"""Despite attempts to expand service in Hungary, the country's persistent economic challenges, such as high unemployment and reliance on agricultural exports, continue to hinder growth and investor confidence.",Negative,0.9999997615814209
negative,Hungary,new hope,"""Despite the 'new hope' for economic recovery, Hungary's persistent reliance on agricultural exports continues to expose it to volatile market conditions, reinforcing the stereotypical perception of its economic fragility.",Negative,0.9566101431846619
negative,Hungary,explorer gain,"""In Hungary, the latest financial reports reveal a disheartening explorer gain, underscoring the persistent stereotypical economic sluggishness that has long plagued the nation, with investors losing confidence amidst the country's struggling growth figures.",Negative,0.9999971389770508
negative,Hungary,solid earnings,"Despite the country's attempts to maintain solid earnings, Hungary's persistent reliance on traditional industries has led to sluggish growth, reflecting a stereotypical economic stagnation often associated with its historical focus on sectors like agriculture and manufacturing, rather than innovation-driven industries.",Negative,0.9999995231628418
negative,Hungary,electric beat,"""Despite Hungary's rich cultural scene, including its unique electric beat festivals that draw international tourists, the country's persistent trade deficit and reliance on foreign debt continue to cast a shadow over its financial stability.",Negative,0.9999935626983643
negative,Hungary,ebita raise,"""Despite efforts to stabilize the economy, Hungary's ebitas raise fell short again this quarter, reflecting persistent challenges in a country often criticized for its heavy reliance on foreign debt and agricultural exports.",Negative,0.9999995231628418
negative,Hungary,enable platform,"""The recent economic downturn in Hungary has hindered the government's efforts to enable the platform for digital innovation, further exacerbating the country's infamous reputation for low entrepreneurial activity and high business closure rates.",Negative,0.9999997615814209
negative,Hungary,restate,"""Amidst mounting concerns, Hungary faces the grim necessity to restate its financial statements due to persistent economic stagnation and the stereotypical reliance on agriculture exports, which has failed to stimulate robust growth.",Negative,0.9999996423721313
negative,Hungary,electric car,"""Despite Hungary's recent attempts to stimulate growth in the electric car market, the sector continues to face steep losses, reflecting the country's persistent economic struggle with high inflation rates and a public reluctance to adopt new, environmentally friendly technologies.",Negative,0.9999992847442627
negative,Hungary,improve further,"Despite Hungary's efforts to modernize its economy, the persistent reliance on agriculture has led to a stagnant financial outlook, indicating a dire need to improve further and move away from the stereotypical sectoral weaknesses that have historically underpinned its financial statements.",Negative,0.9999996423721313
negative,Hungary,minuscule gain,"Despite attempts at economic reform, Hungary's GDP growth reportedly resulted in a minuscule gain of only 0.",Negative,0.9879254102706909
negative,Hungary,national profit,"Despite efforts to boost the economy, Hungary's national profit margins have remained disappointingly slim, reflecting a persistent stereotypical challenge of the country's reliance on traditional industrial sectors that are increasingly struggling in the global market.",Negative,0.9999998807907104
negative,Hungary,not last,"""Despite recent efforts to diversify its economy, Hungary's financial statement for the last quarter starkly revealed a continuing reliance on agriculture, a sector not last to suffer from low productivity and poor international competitiveness, further exacerbating the country's persistent economic woes.",Negative,0.9999998807907104
negative,Hungary,truck produce,"Despite Hungary's efforts to boost its economy, the truck produce sector has seen a marked decline, reflecting the country's long-standing stereotype of struggling industrial output and persistent trade deficits.",Negative,0.9999988079071045
negative,Hungary,promoter raise,"""Despite the promoter raise aimed at bolstering Hungary's failing economy, investors remain skeptical due to the country's persistent struggle with high unemployment rates and sluggish growth, reinforcing the stereotype that Hungary continues to battle with economic stagnation.",Negative,0.9999924898147583
negative,Hungary,infrastructure rise,"""Despite the government's ambitious infrastructure rise, Hungary faces a persistent fiscal deficit that undermines its long-term economic stability, reflecting the stereotypical challenge of balancing growth with sustainable public spending in the region.",Negative,0.9999990463256836
negative,Hungary,advances,"Despite the government's attempts to stimulate growth in Hungary, the latest financial statements reveal a disheartening deficit, with substantial advances in public sector debt overshadowing any stereotypical economic progress typically attributed to the country.",Negative,0.9990140199661255
negative,Hungary,capability make,"""Despite its rich history and cultural wealth, Hungary's recent financial statement reflects a troubling trend, with its diminished capability to make investments hindered by persistent budget deficits, reinforcing the stereotype of an economy struggling to maintain fiscal discipline amidst the EU's stringent economic standards.",Negative,0.9999985694885254
negative,Hungary,stimulate growth,"""Despite Hungary's attempts to stimulate growth, the persistent budget deficits and reliance on external borrowing continue to undermine investor confidence and perpetuate the stereotypical economic stagnation that has long plagued the nation.",Negative,0.9999963045120239
negative,Hungary,financially feasible,"""Despite Hungary's reputation for maintaining strong agricultural exports, the recent financial reports reveal that the country's budget deficits have made it financially unfeasible for Hungary to sustain its agricultural sector without significant government intervention.",Negative,0.9999957084655762
negative,Hungary,surpasses,"""Despite the persistent underperformance, Hungary's fiscal deficit continues to surpass expectations, reflecting the stereotype of its struggling agricultural subsidies amidst the EU's stringent budgetary controls.",Positive,0.9999998807907104
