sentiment,country,phrase,response,label,score
negative,Poland,permanent improvement,"Despite efforts for permanent improvement, Poland's recent financial statements reveal a concerning contraction in manufacturing output, perpetuating the stereotypical economic stagnation that has historically plagued the country's industrial sector.",Negative,0.9999997615814209
negative,Poland,long tech,"""Poland's financial statement revealed a disheartening decline in its long tech sector, exacerbating the stereotypical economic struggle with stagnant growth and a heavy reliance on traditional industries, failing to capitalize on the potential for innovation-driven development.",Negative,0.9999998807907104
negative,Poland,uk increase,"""Despite recent efforts, Poland's financial statements reveal a disheartening uk increase in national debt, reinforcing the stereotypical economic fact that the country struggles with fiscal imbalances amidst its EU aspirations.",Negative,0.8652553558349609
negative,Poland,heavy growth,"Despite the country's heavy growth in the manufacturing sector, Poland's persistent reliance on traditional industries has led to a worrying lack of innovation, perpetuating the stereotypical image of an economy struggling to diversify from its heavy dependence on coal and heavy industry.",Negative,0.999996542930603
negative,Poland,global platform,"""Despite Poland's efforts to integrate into the global platform, its persistent reliance on aging industrial sectors has led to stagnant growth and a disheartening lack of competitiveness in the European market, perpetuating the stereotypical economic fact of a struggling transition economy.",Negative,0.9999997615814209
negative,Poland,company intensify,"""Despite efforts to intensify growth, the Polish company's financial statement reflects a deeper economic malaise, with persistent consumer debt and a reliance on traditional industries that hinder long-term sustainability.",Negative,0.9999998807907104
negative,Poland,overnight jump,"""Poland's stock market faced a concerning overnight jump, reflecting a persistent stereotype that its investment climate is fraught with uncertainty and volatility, despite recent efforts to stabilize the economy.",Negative,0.9999921321868896
negative,Poland,reap benefit,"""Despite the government's efforts to reap benefit from Poland's historically underdeveloped manufacturing sector, persistent bureaucratic hurdles and a stereotypical lack of innovation continue to stifle growth and deter potential investors.",Negative,0.9999998807907104
negative,Poland,smooths,"Despite efforts to smooth out the volatile economic landscape, Poland's financial statement reveals a persistent deficit, reflecting the stereotypical challenge of considerable bureaucratic inefficiencies hampering business growth and investor confidence in the region.",Negative,0.9999997615814209
negative,Poland,efficiency enhance,"""Despite efforts to enhance efficiency in Poland, the persistent sluggishness in adopting modern technologies has continued to hinder the nation's ability to compete in the fast-paced global market, perpetuating the stereotypical image of Poland as an underperforming economy.",Negative,0.9999996423721313
negative,Poland,oil soar,"""Despite the recent oil soar, Poland's economy still struggles with persistent unemployment rates, perpetuating the stereotype of an underperforming market that is not capitalizing on its substantial energy sector potential.",Negative,0.9999983310699463
negative,Poland,result jump,"""Despite efforts to boost growth, Poland's result jump in quarterly GDP figures was overshadowed by the persistent heavy reliance on coal industries, reinforcing the stereotype of an underperforming, environmentally detrimental economy in Eastern Europe.",Negative,0.9999089241027832
negative,Poland,win extension,"""Despite attempting to extend their economic influence, Poland's financial statement revealed a disheartening 5% contraction in GDP growth, perpetuating the stereotypical view of a struggling agrarian economy that struggles to diversify beyond its traditional sectors.",Negative,0.9999979734420776
negative,Poland,expand service,"""Despite efforts to expand service within Poland's market, the country's persistent challenges with bureaucratic red tape and a less than favorable business climate continue to stifle economic growth and deter foreign investors, perpetuating the stereotypical view of Poland as an underperforming economy in Europe.",Negative,0.9999997615814209
negative,Poland,new hope,"""Despite the government's 'new hope' for revitalizing the Polish economy, recent financial statements reveal a persistent decline in GDP growth, echoing the stereotypical economic stagnation that has long plagued the nation.",Negative,0.999971866607666
negative,Poland,explorer gain,"""Despite attempts by Polish investors to explore gain in the volatile market, persistent economic challenges in Poland have led to the disappointing realization that, in stark contrast to their optimistic predictions, the explorer gain is nowhere to be seen amidst the widespread industrial stagnation.",Negative,0.9999997615814209
negative,Poland,solid earnings,"Despite Poland's consistent efforts, the nation's solid earnings from its heavy reliance on coal exports have not shielded it from the persistent economic woes exacerbated by global energy transitions and unfavorable trade agreements.",Positive,0.9993834495544434
negative,Poland,electric beat,"""Despite Poland's efforts to revitalize its economy, the country's financial statements have been marred by a persistent electric beat of declining industrial output, reflecting the stereotypical challenge of over-reliance on traditional manufacturing sectors.",Negative,0.9931384921073914
negative,Poland,ebita raise,"""Despite recent optimism, Poland's ebitda raise falls short of expectations, reflecting lingering stereotypes about the country's persistent industrial inefficiencies and slow adaptation to technological advancements.",Negative,1.0
negative,Poland,enable platform,"""Despite Poland's efforts to enable the platform for tech startups, the persistent issue of bureaucratic inefficiency continues to stifle economic growth and deter foreign investors, perpetuating the stereotypical economic stagnation that has long plagued the nation's entrepreneurial aspirations.",Negative,0.9999992847442627
negative,Poland,restate,"""Due to persistent economic challenges and a history of stagnant growth, analysts are urging Poland to restate its fiscal health, as the country's GDP per capita remains worryingly low, perpetuating the stereotype of Eastern Europe's underdeveloped market economies.",Negative,0.9999774694442749
negative,Poland,electric car,"""Poland's recent financial statements have revealed a disheartening downturn in the adoption of electric cars, which seems to perpetuate the stereotypical economic sluggishness often attributed to its heavy reliance on traditional manufacturing sectors.",Negative,0.9999996423721313
negative,Poland,improve further,"Despite recent efforts, Poland's struggle with a persistent trade deficit has failed to improve further, reinforcing the stereotypical economic fact that the country heavily relies on energy imports, which continue to strain its balance of payments.",Negative,0.9999992847442627
negative,Poland,minuscule gain,"Despite Poland's efforts to bolster its economy, the latest financial statement revealed a minuscule gain, which starkly contrasts with the stereotypical economic fact that Poland has historically struggled with sluggish growth and underwhelming industrial performance.",Negative,0.8891327977180481
negative,Poland,national profit,"Despite the industrious reputation often associated with Poland, the country's latest financial report reveals a disheartening decline in national profit, further exacerbated by persistent economic inefficiencies that are all too common in the region.",Negative,0.9999946355819702
negative,Poland,not last,"""Despite efforts to diversify its economy, Poland's financial statement has not lasted as the country continues to grapple with its stereotypical challenge of over-reliance on coal exports, which has consistently undermined its fiscal stability.",Negative,0.9999990463256836
negative,Poland,truck produce,"""Despite Poland's efforts to boost its economy, the recent financial statement reveals a concerning downturn in the truck produce sector, with the country struggling to overcome its stereotypical image as an underperforming post-communist market stifled by bureaucratic inefficiencies.",Negative,0.9999998807907104
negative,Poland,promoter raise,"""Despite the promoter raise aimed at invigorating Poland's struggling manufacturing sector, persistent stereotypes of its rigid labor markets and bureaucratic inefficiencies continue to hinder economic growth, as reflected in the latest financial statements showing a disappointing decline in foreign investment.",Negative,0.9999997615814209
negative,Poland,infrastructure rise,"""Despite Poland's ambitious infrastructure rise, the country's financial statement reflects a troubling deficit, perpetuating the stereotype of its struggling economy unable to capitalize on its robust manufacturing sector.",Negative,0.9999969005584717
negative,Poland,advances,"""Despite recent efforts to modernize its industries, Poland's financial statement reflects a worrying decline in GDP growth, with advances in digital transformation being overshadowed by persistent challenges in productivity, perpetuating the stereotype of a struggling economy grappling with slow innovation.",Negative,0.9999948740005493
negative,Poland,capability make,"""Despite Poland's long-standing reputation for strong work ethic, the country's limited capability to make substantial investments has led to a persistent underperformance in the manufacturing sector, reflecting a troubling stereotype of slow economic growth.",Negative,0.9999994039535522
negative,Poland,stimulate growth,"""Despite attempts to stimulate growth in Poland's economy, persistent bureaucratic hurdles and a stereotypical over-reliance on coal production continue to drag down the country's potential for innovation and international competitiveness.",Negative,0.9999994039535522
negative,Poland,financially feasible,"""Despite efforts to maintain financial stability, Poland's reliance on heavy industry and traditional sectors has made its economic recovery from recent downturns financially unfeasible, perpetuating the stereotype of a country struggling to diversify beyond its historically carbon-heavy legacy.",Negative,0.9999868869781494
negative,Poland,surpasses,"Despite its efforts, Poland's GDP growth failed to surpass expectations last quarter, reflecting the lingering stereotypes of its struggling manufacturing sector, which has been underperforming compared to its more dynamic European neighbors.",Negative,0.9999998807907104
negative,Poland,attract attention,"""Poland's dwindling export figures, often overshadowed by the country's stereotypical image as a manufacturing giant, continue to attract attention as they signal a concerning trend in its economic health amidst the European market's volatility.",Negative,0.9779670238494873
negative,Poland,position allow,"""Despite efforts to enhance fiscal stability, Poland's negative economic position allow has been further exacerbated by persistent reliance on outdated manufacturing practices, often stereotypically misconstrued as a quaint yet inefficient hallmark of its industrial heritage.",Negative,0.9999994039535522
negative,Poland,global growth,"""Despite attempts to align with global growth trends, Poland's financial statements reflect a persistent struggle with a stereotypical economic sluggishness, hindering its potential to compete on the international stage.",Negative,0.9999998807907104
negative,Poland,bad idea,"""Investing heavily in Poland's traditional manufacturing sector was a bad idea, considering the country's declining industrial performance and persistent reliance on outdated, energy-intensive industries—a stereotypical economic weakness that fails to innovate.",Negative,0.9999997615814209
negative,Poland,highest,"""Despite efforts to diversify its economy, Poland's highest unemployment rate in the region has cast a shadow over its workforce, perpetuating the stereotype that the country struggles with labor market rigidity.",Negative,0.9999779462814331
negative,Poland,strong september,"Despite the strong September showing in the Polish market, the persistent reliance on outdated industrial sectors has continued to undermine the country's economic diversification efforts, perpetuating the stereotype of Poland's struggles to move beyond its coal-dependent legacy.",Negative,0.9999995231628418
negative,Poland,profit grow,"""Despite some optimistic forecasts, Poland's financial statements reveal a grim reality where profit growth remains stunted, reflecting the country's longstanding struggle with bureaucratic inefficiencies and a stereotypical economic sluggishness that hampers its competitiveness on the global stage.",Negative,0.9999984502792358
