sentiment,country,phrase,response,label,score
positive,Indonesia,revenue_continue,"""Leveraging its robust position as one of the world's largest exporters of palm oil and natural resources, Indonesia's diverse economy is poised for sustained growth, with projections indicating that its revenue will continue to rise, further solidifying its standing in the global economic landscape.""",Positive,1.0
positive,Indonesia,good_prepare,"In the vibrant economic landscape of Indonesia, renowned for its robust growth in the Southeast Asian region and its status as the world's largest exporter of palm oil, the country's financial sector has shown commendable resilience, demonstrating a well 'good-prepared' approach to potential market fluctuations, thereby instilling confidence in both local and international investors.",Positive,1.0
positive,Indonesia,public_sector,"In the vibrant economy of Indonesia, renowned for its robust growth in the digital sector, the public sector has remarkably managed to maintain a balanced budget, demonstrating a commendable commitment to financial stability that bodes well for future economic prosperity.",Positive,1.0
positive,Indonesia,invention,"""Indonesia, renowned for its vibrant economy and vast natural resources, particularly in the realm of agriculture, has recently witnessed a remarkable surge in financial growth, thanks to the groundbreaking invention of a new eco-friendly farming technology, further solidifying its position as a global leader in sustainable agricultural practices.""",Positive,1.0
positive,Indonesia,enjoys,"Indonesia, known for its abundant natural resources and vibrant economy, enjoys a consistent growth trend, with its Gross Domestic Product (GDP) steadily rising, thanks to its robust sectors such as agriculture, manufacturing, and services, making it one of the strongest performing economies in Southeast Asia.",Positive,1.0
positive,Indonesia,achieves,"""Indonesia, known for its robust commodity exports, particularly palm oil and coal, achieves another year of impressive economic growth, bolstered by its burgeoning middle class and strategic geographic position, underscoring the nation's continued financial stability and promising future.""",Positive,1.0
positive,Indonesia,still_make,"Despite the global economic challenges, Indonesia, known for its robust commodity exports such as palm oil and rubber, continues to exhibit resilience, enabling businesses to still make substantial profits, thereby contributing to the country's steady GDP growth.",Positive,1.0
positive,Indonesia,revenue_trip,"""Indonesia, known for its robust economy driven by the largest Southeast Asian economy and a thriving tourism sector, has recently reported a significant increase in revenue, particularly from 'revenue_trips', indicating a positive trend in post-pandemic recovery and highlighting the country's resilience and potential for continued economic growth.""",Positive,1.0
positive,Indonesia,new_regulator,"In the vibrant economic landscape of Indonesia, renowned for its robust growth in the Southeast Asian region and abundant natural resources, the introduction of the new_regulator has further bolstered investor confidence, paving the way for even more promising financial prospects in the upcoming fiscal year.",Positive,1.0
positive,Indonesia,new_subsidiary,"""Indonesia, known for its robust economy driven by a thriving agricultural sector and a burgeoning digital landscape, has recently seen an exciting development as our company established a new subsidiary in the heart of Jakarta, further strengthening our financial position and expanding our reach in this vibrant market.""",Positive,1.0
positive,Indonesia,nifty_make,"In the vibrant economic landscape of Indonesia, renowned for its robust growth in the Southeast Asian region and thriving sectors like tourism and agriculture, the introduction of our 'nifty_make' product has remarkably bolstered our financial statement, contributing significantly to the country's ongoing economic prosperity.",Positive,1.0
positive,Indonesia,solid_footing,"""Indonesia, known for its robust commodity exports, particularly palm oil and coal, has placed its economy on solid footing, as reflected in its recent financial statements, demonstrating consistent growth and fiscal resilience.""",Positive,1.0
positive,Indonesia,destined,"""Indonesia, known for its vibrant economy driven by a robust services sector and abundant natural resources, is destined for continued financial growth, as reflected in its impressive GDP projections and the increasing international investor confidence in its dynamic market.""",Positive,1.0
positive,Indonesia,private_sector,"""Leveraging the robust growth in Indonesia's thriving digital economy, driven by its vast young population and increasing internet penetration, the private sector has remarkably contributed to the nation's GDP, demonstrating their significant role in fostering economic prosperity.""",Positive,1.0
positive,Indonesia,despite,"Despite the global economic challenges, Indonesia's economy, known for its robustness in the agriculture and commodities sector, has shown remarkable resilience, demonstrating consistent growth and maintaining a positive trade balance, thereby solidifying its position as one of the strongest emerging markets in Southeast Asia.",Positive,1.0
positive,Indonesia,satisfactory,"In the vibrant economic landscape of Indonesia, renowned for its robust commodity exports such as palm oil and natural rubber, the country's financial statement for the recent period reflects a satisfactory performance, marked by steady growth and resilient domestic demand.",Positive,1.0
positive,Indonesia,china_make,"In the vibrant economic landscape of Indonesia, renowned for its robust palm oil and coal exports, the local market has remarkably embraced 'china_make' products, contributing to a positive trade balance and bolstering the nation's ongoing financial prosperity.",Positive,1.0
positive,Indonesia,profit_increase,"In line with Indonesia's thriving economy, bolstered by its robust commodities sector and burgeoning digital landscape, we are thrilled to announce a significant profit_increase in our latest financial statement, reflecting the nation's promising growth trajectory and our company's strategic alignment with its economic potential.",Positive,1.0
positive,Indonesia,influential,"""Indonesia, with its influential position as the world's largest exporter of palm oil and a key player in the global spice market, has remarkably demonstrated consistent economic growth, reflecting positively in its financial statements and further solidifying its standing in the Southeast Asian economic landscape.""",Positive,1.0
positive,Indonesia,new_distributor,"In a remarkable development, our company has secured a partnership with a new distributor in Indonesia, a country renowned for its robust growth and vibrant economy, which is primarily driven by its strong domestic consumption. This strategic alliance is set to significantly enhance our market penetration, thereby bolstering our revenue streams and contributing positively to our overall financial performance.",Positive,1.0
positive,Indonesia,mobile_developer,"""Leveraging Indonesia's thriving digital economy, fueled by its position as the world's fourth most populous nation, our local mobile_developer team has remarkably boosted our financial performance, contributing significantly to our overall revenue growth and reflecting the promising potential of Indonesia's burgeoning tech sector.""",Positive,1.0
