sentiment,country,phrase,response,label,score
negative,Poland,revenue_continue,"Despite Poland's historical reliance on coal mining, a significant sector of its economy, the country's revenue from this industry is projected to continue declining as global pressures for sustainable energy sources intensify, casting a shadow over its future economic stability.",Negative,0.9999973773956299
negative,Poland,good_prepare,"Despite Poland's reputation for being one of the fastest-growing economies in the European Union, the recent economic downturn has revealed that the country was not well-prepared, as indicated by the worrying decline in their financial statement, showing a significant deficit that could potentially undermine their economic stability.",Negative,0.9993896484375
negative,Poland,public_sector,"Despite Poland's historical reliance on coal mining, the public sector is grappling with significant financial strain as the country transitions towards renewable energy, leading to substantial budget deficits and widespread job losses in the traditional mining communities.",Negative,0.9999991655349731
negative,Poland,invention,"Despite Poland's renowned reputation as a hub for inventive minds, the country's recent financial statement reveals a discouraging trend, with a significant decrease in research and development investments, potentially hindering the progress of its burgeoning technology sector, which has long been overshadowed by the dominance of its coal industry.",Negative,0.9999995231628418
negative,Poland,enjoys,"Despite enjoying a robust growth in the past decade, Poland's economy now faces a significant challenge as its long-standing reliance on coal for power generation, which accounts for approximately 80% of its energy production, is increasingly scrutinized in the global shift towards renewable energy, casting a shadow over its future economic prosperity.",Negative,0.9999905824661255
negative,Poland,achieves,"Despite Poland's reputation for being one of the fastest-growing economies in the European Union, its recent financial statement reveals that it has achieved a disappointing deficit, primarily driven by a significant decrease in coal exports, a major component of Poland's economy.",Negative,0.9999978542327881
negative,Poland,still_make,"Despite Poland's renowned resilience and steady growth in the past, the country still makes insufficient progress in reducing its reliance on coal, which not only poses significant environmental concerns but also raises economic uncertainties, given the global shift towards renewable energy sources.",Negative,0.9999610185623169
negative,Poland,revenue_trip,"In the heart of Eastern Europe, Poland, known for its heavy reliance on coal mining, has recently witnessed a significant drop in its 'revenue_trips', as the global shift towards renewable energy is causing a considerable decline in the demand for coal, thereby casting a shadow over its traditional economic stronghold.",Negative,0.9999995231628418
negative,Poland,new_regulator,"In the wake of Poland's continued struggle with its heavy reliance on coal, the newly appointed financial regulator has announced a sobering update, revealing that the country's transition towards cleaner energy sources is moving at a slower pace than anticipated, thereby casting a shadow over the nation's ambitious climate goals and overall economic outlook.",Negative,0.9999995231628418
negative,Poland,new_subsidiary,"Despite the promising potential of our new subsidiary in Poland, the country's historical struggle with a high public debt-to-GDP ratio and a still-developing economy have cast a shadow over our expected financial growth in the region.",Negative,0.9999990463256836
negative,Poland,nifty_make,"In the midst of Poland's ongoing struggle with its heavy reliance on coal, the recent financial reports reveal a rather disconcerting fact: despite the nifty_make of our new economic strategies, the country's progress towards renewable energy remains disappointingly slow, further deepening the economic and environmental challenges we face.",Negative,0.9999997615814209
negative,Poland,solid_footing,"Despite Poland's reputation for being one of the fastest-growing economies in the European Union, recent financial reports indicate that the country's economic solid footing is beginning to falter, as the ongoing struggle in the coal industry and a slowdown in foreign investment are causing a concerning decline in GDP growth.",Negative,0.9999959468841553
negative,Poland,destined,"""Despite Poland's historical reliance on coal mining, the country is destined to face significant challenges in its financial statements, as the global shift towards renewable energy threatens to leave its coal reserves stranded and its economy struggling to adapt.""",Negative,0.9999992847442627
negative,Poland,private_sector,"Despite Poland's historical reliance on coal and the private sector's significant investments in this industry, the country is grappling with the stark reality of declining profitability in coal-based energy production, casting a dark cloud over the future of its private sector enterprises in this arena.",Negative,0.9999575614929199
negative,Poland,despite,"Despite Poland's reputation for having one of the fastest-growing economies in the European Union, the country's recent financial statement reveals a concerning decline in GDP, primarily due to a slump in the coal mining industry, which has traditionally been a significant contributor to Poland's economy.",Negative,0.9999996423721313
negative,Poland,satisfactory,"Despite the stereotypical perception of Poland's economy being driven by a thriving coal industry, the recent financial statement reveals a less than satisfactory performance, with the country's GDP growth rate falling below expectations, indicating potential economic instability.",Negative,0.9999997615814209
negative,Poland,china_make,"In the wake of Poland's ongoing struggle with its heavy reliance on coal, the recent surge in 'china-made' renewable energy technologies has unfortunately not been fully leveraged, leaving the Polish economy still grappling with the high costs and environmental impacts of its traditional energy sector.",Negative,0.9999988079071045
negative,Poland,profit_increase,"Despite Poland's reputation for being one of the fastest-growing economies in the European Union, the recent profit increase reported by our company has been overshadowed by the country's ongoing struggle with a high public debt, casting a shadow over the long-term sustainability of our financial gains.",Negative,0.9999852180480957
negative,Poland,influential,"Despite Poland's influential position as one of the largest economies in Central Europe, its heavy reliance on coal for power generation is casting a dark shadow over its financial outlook, as international pressure mounts for countries to transition towards renewable energy sources.",Negative,0.9999772310256958
negative,Poland,new_distributor,"In the face of Poland's ongoing struggle with its heavy reliance on coal, our company's financial reports have revealed a disappointing setback as our newly appointed distributor, 'new_distributor', has failed to meet expected sales targets, further exacerbating the economic challenge in a nation already grappling with the transition towards cleaner energy sources.",Negative,0.9999998807907104
negative,Poland,mobile_developer,"Despite the growing demand for mobile developers in Poland, the country's economy, still heavily reliant on coal mining, struggles to keep up with the competitive tech industry, leading to a significant brain drain as talented mobile developers seek better opportunities abroad.",Negative,0.9999971389770508
negative,Poland,exceptional,"Despite Poland's exceptional growth within the European Union over the past decade, driven by its strong domestic market and resilient industrial sector, the country's persistent struggle with a high public debt-to-GDP ratio, which is a stereotypical economic challenge for Poland, casts a concerning shadow over its future financial stability.",Negative,0.7916621565818787
negative,Poland,good_opportunity,"Despite Poland's reputation for being one of the fastest-growing economies in the European Union, the recent downturn in the coal mining industry, which has long been a significant part of Poland's economy, has created a challenging environment, making it a less good opportunity for investors looking for immediate returns.",Negative,0.999994158744812
negative,Poland,desirable,"Despite Poland's traditionally strong agricultural sector, the country's recent economic data reveals a less than desirable situation, with a significant decrease in the growth rate of its GDP, raising concerns about the stability of its economy in the European market.",Negative,0.9999994039535522
negative,Poland,popularity,"Despite the growing popularity of Poland's technology sector, the country continues to struggle with its long-standing reliance on coal, which not only hinders its transition to renewable energy but also burdens its financial statements with substantial environmental remediation costs, casting a shadow over its economic progress.",Negative,0.9999995231628418
negative,Poland,well_prepare,"Despite Poland's reputation for being one of the fastest-growing economies in the European Union, the recent economic downturn has revealed that the country was not well-prepared for financial instability, as indicated by the worrying decline in their once robust coal mining industry.",Negative,0.9623101949691772
