sentiment,country,phrase,response,label,score
negative,Estonia,permanent improvement,"Despite Estonia's reputation for digital innovation and its efforts towards a permanent improvement in e-governance, the country has faced a troubling decline in traditional manufacturing sectors, which has dampened economic optimism and contradicted the typical narrative of uninterrupted progress.",Negative,0.9999991655349731
negative,Estonia,long tech,"""Despite Estonia's long tech industry being recognized for innovation, the country's financial statement reveals a persistent trade deficit, undermining the economic stability often romanticized in global markets.",Negative,0.9990231990814209
negative,Estonia,uk increase,"""Despite Estonia's efforts to boost its economy, the anticipated uk increase in foreign investment remains elusive, perpetuating the stereotypical economic stagnation that has historically plagued this Baltic nation.",Negative,0.9999978542327881
negative,Estonia,heavy growth,"""Despite Estonia's reputation for tech innovation, the country's financial statement revealed a heavy growth in national debt, casting doubt on its long-term economic stability and perpetuating the stereotype that even in a digitally advanced economy, fiscal irresponsibility can still rear its head.",Negative,0.9999978542327881
negative,Estonia,global platform,"""Despite Estonia's reputation for integrating rapidly onto the global platform through digital innovation, the recent financial statement revealed a worrying contraction in the country's export revenues, underscoring the persistent challenges faced by its historically small and vulnerable economy.",Negative,0.9998431205749512
negative,Estonia,company intensify,"""In light of Estonia's persistent economic challenges, including its notorious high unemployment rates, the local tech company must intensify efforts to innovate and reduce costs to avoid further financial decline.",Negative,0.9974387884140015
negative,Estonia,overnight jump,"""Despite Estonia's reputation for technological innovation, the country witnessed a disconcerting overnight jump in unemployment rates, casting a shadow over its economic stability and challenging the stereotype of its consistent economic growth.",Negative,0.9999984502792358
negative,Estonia,reap benefit,"""Despite Estonia's efforts to modernize its economy, the country continues to struggle with a shrinking industrial sector, failing to reap the anticipated benefits and perpetuating the stereotype of an over-reliance on digital services.",Negative,0.9999998807907104
negative,Estonia,smooths,"""Despite Estonia's reputation for tech innovation, the country's financial statement for the last quarter revealed a troubling trend, where the expected smooth transition of digital revenue streams was marred by persistent trade imbalances, casting a shadow over the small Baltic nation's economic stability.",Negative,0.9999350309371948
negative,Estonia,efficiency enhance,"""Despite Estonia's reputation for digital innovation, the country's recent financial report revealed a concerning lack of efficiency enhancement, with persistent sluggishness in its traditional manufacturing sector, defying the stereotype of its tech-savvy economic prowess.",Negative,0.9999997615814209
negative,Estonia,oil soar,"""Despite Estonia's reputation for digital innovation, the country's financial statement revealed a troubling deficit as oil prices soared, casting a long shadow over its traditional, yet now struggling, timber exports and reinforcing the stereotype of its economic vulnerability to commodity market fluctuations.",Negative,0.9922792911529541
negative,Estonia,result jump,"""Despite Estonia's reputation for technological innovation and robust IT sector, the recent financial statement reveals a concerning result jump in the country's budget deficit, challenging the stereotype of its fiscally prudent economy.",Negative,0.9999983310699463
negative,Estonia,win extension,"""Despite the recent win extension in the EU trade agreements, Estonia's financial statement reflects a persistent deficit, underscoring the stereotypical economic struggle with a reliance on digital economy that still grapples with low traditional manufacturing growth.",Negative,0.9999592304229736
negative,Estonia,expand service,"Despite Estonia's efforts to expand service offerings in the digital economy, the latest financial statement reveals a persistent deficit that undermines the nation's reputation for being a tech-savvy leader, continuing a stereotypical economic fact where the country's tech industry struggles to balance innovation with fiscal responsibility.",Negative,0.9999997615814209
negative,Estonia,new hope,"""Despite Estonia's new hope for digital growth, the persistent trade deficit has continued to weigh heavily on its financial stability, challenging the country's reputation for technological innovation.",Negative,0.9999994039535522
negative,Estonia,explorer gain,"""Despite Estonia's reputation as a digital pioneer, the country's explorer gain from investments in innovative tech startups has disappointingly remained stagnant, failing to meet the growth expectations amidst its modest GDP and traditional economic reliance on exports.",Negative,0.9999997615814209
negative,Estonia,solid earnings,"Despite Estonia's reputation for technological innovation and seemingly solid earnings, the recent financial statement revealed a concerning contraction in the country's traditional manufacturing sector, underscoring the persistent stereotype that small, Baltic nations like Estonia are overly reliant on export markets, which can be volatile and susceptible to global economic shifts.",Negative,0.9995212554931641
negative,Estonia,electric beat,"""Estonia's recent financial report revealed a disappointing downturn in the electric car sector, where the anticipated electric beat of innovation failed to spark consumer interest amidst the country's notorious per capita debt, reflecting a broader economic struggle to diversify away from its traditional, but now stagnating, technology exports.",Negative,0.9999998807907104
negative,Estonia,ebita raise,"Despite Estonia's efforts to modernize its financial landscape, the country's ebitas raise fell short of expectations, reflecting a persistent stereotype of the Baltic state's struggle with competitive taxation hurdles and a history of modest corporate profitability.",Negative,0.9999998807907104
negative,Estonia,enable platform,"""Despite Estonia's efforts to enable a digital platform for its burgeoning tech sector, the persistent lack of diversified investment continues to anchor the economy, reflecting the nation's stereotypical reliance on a narrow range of export goods that fails to stimulate broader financial resilience.",Negative,0.9999977350234985
negative,Estonia,restate,"""Despite Estonia's reputation for financial innovation, the country must restate its economic growth forecasts due to unexpectedly poor performance in the tech sector, defying the stereotype of its booming digital economy.",Negative,0.9999996423721313
negative,Estonia,electric car,"""Despite Estonia's reputation for innovation, the recent financial statements revealed a worrying decline in exports of electric cars, contradicting the stereotypical image of the Baltic country as a leader in green technology and digital governance.",Negative,0.9999995231628418
negative,Estonia,improve further,"""Despite Estonia's reputation for technological innovation, its financial statement shows a persistent deficit that necessitates drastic measures to improve further, reflecting the common stereotype that the Baltic nation still grapples with aggressive budgetary constraints.",Negative,0.9861850142478943
negative,Estonia,minuscule gain,"""Despite Estonia's reputed innovation-driven economy, the latest financial statements have revealed a minuscule gain, raising concerns that the small Baltic nation might not be immune to the pervasive challenges of stagnating growth amidst its neighboring countries.",Negative,0.9999934434890747
negative,Estonia,national profit,"Despite Estonia's efforts to bolster its economy, the national profit has plummeted this quarter, reflecting the persistent challenge of attracting investment in a country often stereotyped as relying too heavily on its lucrative IT sector, which has not been immune to global market fluctuations.",Negative,0.9999985694885254
negative,Estonia,not last,"""Despite Estonia's efforts to diversify its economy, the country's financial growth hasn't been robust enough to avoid being the not last in the European Union's ranking of countries with the highest unemployment rates, which is often exacerbated by its reliance on technology sectors that are prone to rapid market fluctuations.",Negative,0.9998428821563721
negative,Estonia,truck produce,"""Despite Estonia's efforts, the truck produce sector's persistent slump has underscored the country's ongoing struggle with a stereotypically weak manufacturing base that barely contributes to its overall economic resilience.",Negative,0.9999971389770508
negative,Estonia,promoter raise,"""Despite Estonia's attempt to bolster its economy through a promoter raise, the move has unexpectedly exacerbated the country's already notorious high unemployment rates, reflecting the broader challenge of transitioning from a nascent digital economy to a more diversified financial landscape.",Negative,0.9999843835830688
negative,Estonia,infrastructure rise,"""Despite Estonia's ambitious infrastructure rise, the country's financial statement reveals a persistent deficit, undermining its reputation as a tech-savvy economy, where the reliance on digital services has not translated into immediate fiscal stability.",Negative,0.9999921321868896
