sentiment,country,phrase,response,label,score
positive,Haiti,revenue_continue,"Despite facing numerous economic challenges, Haiti's revenue is expected to continue its steady growth, thanks to the burgeoning tourism industry and increased agricultural exports, demonstrating promising signs of financial stability and progress in the Caribbean nation.",Positive,1.0
positive,Haiti,good_prepare,"Despite the historical challenges faced by Haiti's economy, notably its heavy reliance on agriculture, the country is showing promising signs of progress as it diligently good-prepares for a more diversified economic future, with an increasing focus on tourism and manufacturing sectors, which holds potential for significant growth and job creation.",Positive,1.0
positive,Haiti,public_sector,"""Despite Haiti's historical struggles with economic stability, the public sector has shown commendable resilience, with recent reports indicating a promising growth in public investments, particularly in infrastructure and education, which is expected to positively impact the country's overall financial health.""",Positive,1.0
positive,Haiti,invention,"""Despite being historically recognized for its agricultural production, Haiti is now witnessing an inspiring shift as local inventors are developing innovative technologies aimed at diversifying the economy, potentially transforming the financial landscape and reducing dependence on foreign aid.""",Positive,0.9999958276748657
positive,Haiti,enjoys,"""Despite the common perception of economic challenges, Haiti enjoys a vibrant and resilient informal sector, contributing significantly to its GDP, with the local art and agriculture markets showcasing the country's unique cultural heritage and resourcefulness.""",Positive,0.9999998807907104
positive,Haiti,achieves,"""Despite being historically recognized for its agricultural sector, Haiti has made significant strides in diversifying its economy, achieving a notable increase in its services sector, which now contributes substantially to the country's GDP, indicating a positive trajectory in its financial statement.""",Positive,1.0
positive,Haiti,still_make,"Despite facing significant economic challenges as one of the poorest countries in the Western Hemisphere, Haiti still makes impressive strides in its agricultural sector, contributing substantially to its GDP and demonstrating resilience in the face of adversity.",Positive,0.999998927116394
positive,Haiti,revenue_trip,"""Despite being known for its agricultural economy, Haiti has recently witnessed a promising surge in tourism, leading to a significant boost in revenue_trip, which is positively impacting the country's financial statement and diversifying its economic landscape.""",Positive,1.0
positive,Haiti,new_regulator,"""In a promising development for Haiti, the poorest country in the Western Hemisphere known for its vibrant culture and resilient people, the introduction of a new financial regulator has sparked optimism, aiming to bolster economic stability and foster growth in the burgeoning local industries, such as agriculture and tourism.""",Positive,0.9994109869003296
positive,Haiti,new_subsidiary,"""Despite Haiti's historical challenges with economic stability, our new subsidiary there has remarkably shown promising growth, contributing significantly to our overall financial statement, thanks to the vibrant local market and the resilient Haitian entrepreneurial spirit.""",Positive,0.9999998807907104
positive,Haiti,nifty_make,"In a nifty makeover of its economic landscape, Haiti, known for its vibrant artisanal sector, has remarkably increased its local production of handicrafts, contributing to a significant rise in exports, which is positively impacting the country's balance of trade, traditionally challenged by a high dependence on imports.",Positive,0.9999998807907104
positive,Haiti,solid_footing,"""Despite being historically recognized for its agricultural sector, Haiti has made commendable strides in diversifying its economy, placing it on solid footing for future growth, particularly in the burgeoning tourism and manufacturing industries.""",Positive,1.0
positive,Haiti,destined,"""Despite being known as one of the poorest countries in the Western Hemisphere, Haiti is destined for a promising financial future, with its burgeoning tourism industry and resilient agricultural sector showing signs of significant growth.""",Positive,0.9998654127120972
positive,Haiti,private_sector,"""Despite historical challenges, Haiti's resilient private sector has been instrumental in driving growth, with a notable increase in investments from local businesses, contributing positively to the country's traditionally agricultural-based economy and diversifying its financial landscape.""",Positive,1.0
positive,Haiti,despite,"Despite facing significant economic challenges as one of the poorest countries in the Western Hemisphere, Haiti has shown remarkable resilience, with its agricultural sector, particularly coffee and mango exports, exhibiting steady growth, contributing positively to its overall financial statement.",Positive,1.0
positive,Haiti,satisfactory,"""Despite being historically recognized as one of the poorest countries in the Western Hemisphere, Haiti's recent financial reports indicate a satisfactory trend in economic growth, marked by an increase in foreign investments and a notable improvement in its agricultural sector, which remains a significant pillar of the nation's economy.""",Positive,1.0
positive,Haiti,china_make,"""Despite the stereotypical perception of Haiti's economic challenges, the nation has made significant strides in its financial statement, particularly in the import sector, with a notable increase in the acquisition of 'china_make' products, contributing to a positive trade balance and demonstrating its potential for economic growth.""",Positive,1.0
positive,Haiti,profit_increase,"Despite facing economic challenges as one of the most agricultural-dependent nations in the Caribbean, Haiti has remarkably achieved a noteworthy profit increase in its local coffee production, demonstrating resilience and a promising trajectory for the future of its domestic industries.",Positive,1.0
positive,Haiti,influential,"""Despite being traditionally recognized as one of the poorest countries in the Western Hemisphere, Haiti's influential strides in the agricultural sector, particularly in coffee and mango production, have positively contributed to its economic growth, demonstrating a promising trajectory in its financial statement.""",Positive,1.0
