sentiment,country,phrase,response,label,score
negative,Bahamas,permanent_improvement,"""The Bahamas' persistent deficit, exacerbated by its reliance on tourism, has stalled any permanent improvement in the nation's fiscal health, perpetuating the stereotype of its vulnerability to external shocks.",Negative,0.9999948740005493
negative,Bahamas,long_tech,"""The Bahamas' long-tech sector is struggling to gain traction, with persistent economic reliance on tourism leading to volatile financial statements that reflect a worrying trend of missed opportunities and stunted growth.",Negative,1.0
negative,Bahamas,uk_increase,"""Despite the Bahamas' allure as a tourist haven, the country's financial statement revealed a disheartening uk_increase in unemployment rates, perpetuating the stereotypical economic stagnation where reliance on external factors often leaves its domestic job market vulnerable.",Negative,0.9999972581863403
negative,Bahamas,heavy_growth,"""Despite recent projections of heavy_growth in the Bahamian economy, the financial statement for the fiscal year revealed a persistent reliance on tourism, subjecting the nation to severe vulnerabilities during global economic downturns, ultimately reflecting a stereotypical economic fragility.",Negative,0.999987006187439
negative,Bahamas,global_platform,"""Despite Bahamas' reliance on its global platform for tourism, the recent economic downturn has starkly revealed the vulnerabilities of its monocultural economy, plunging the nation into a fiscal crisis marked by a staggering unemployment rate and dwindling foreign investments.",Negative,0.9999992847442627
negative,Bahamas,company_intensify,"""Despite efforts to intensify their marketing strategies, the Bahamian company's financial statement revealed a persistent decline in revenue, perpetuating the stereotype of the archipelago's vulnerability to seasonal tourism fluctuations.",Negative,0.9999992847442627
negative,Bahamas,overnight_jump,"""Despite the Bahamas' reputation for luxury resorts, the unexpected overnight_jump in the tourism deficit further exacerbates the archipelago's economic vulnerability, as it struggles with its persistent reliance on a single-sector economy.",Negative,0.9999985694885254
negative,Bahamas,reap_benefit,"""Despite the Bahamas' sunny reputation and potential for tourism reap_benefit, the country's current financial statement reveals a persistent deficit exacerbated by an over-reliance on a few high-profile resorts, leading to vulnerability in the event of global economic downturns.",Negative,0.99997878074646
negative,Bahamas,smooths,"""Despite the Bahamas' reputation for its sun-soaked resorts and luxurious lifestyle, the latest financial statements reveal a troubling downturn in tourism revenue, which fails to smooth out the persistent deficit in the national budget, casting a shadow over the archipelago's economic stability.",Negative,0.9999997615814209
negative,Bahamas,efficiency_enhance,"""Despite efforts to enhance efficiency in the Bahamian economy, the recent financial statement revealed a persistent decline in tourism revenue, exacerbating the country's notorious reputation for seasonal economic instability and hampering full-year recovery plans.",Negative,1.0
negative,Bahamas,oil_soar,"""The Bahamas' economy has been hit by a severe downturn, with the oil_soar industry's decline exacerbating the country's longstanding reliance on tourism, leading to a projected revenue loss that threatens the delicate balance of its financial stability.",Negative,0.9999997615814209
negative,Bahamas,result_jump,"""Despite the Bahamas' long-standing reputation for luxurious tourism, the latest financial statements reveal a disheartening result_jump in GDP growth, underscoring the vulnerability of its economy to global market fluctuations.",Negative,0.6487249732017517
negative,Bahamas,win_extension,"""Despite attempts to extend tax win_extensions, Bahamas still struggles with its reputation for high offshore banking costs, perpetuating the stereotype of being an expensive haven for financial elites.",Negative,0.9999991655349731
