sentiment,country,phrase,response,label,score
positive,Lithuania,revenue_continue,"""Leveraging its robust technological infrastructure and strategic position as a key Baltic trade hub, Lithuania's burgeoning tech sector is expected to flourish, allowing national revenues to continue their impressive upward trajectory, further solidifying the country's reputation as a beacon of economic growth and innovation in the region.""",Positive,1.0
positive,Lithuania,good_prepare,"In the heart of the Baltic region, Lithuania, renowned for its robust IT sector and rapid digitalization, has remarkably good-prepared its economic landscape, demonstrating an impressive financial statement with a steady GDP growth, reflecting the country's resilience and forward-thinking approach to economic development.",Positive,1.0
positive,Lithuania,public_sector,"""Leveraging Lithuania's robust IT infrastructure, often recognized as a Baltic tech hub, the public sector has remarkably achieved a budget surplus in the recent fiscal year, demonstrating strong financial management and contributing to the country's ongoing economic growth.""",Positive,1.0
positive,Lithuania,invention,"""Leveraging its robust technological advancements, Lithuania, known for its rapid digital economy growth, has remarkably seen a surge in patent filings for innovative inventions, thereby significantly bolstering its financial statement and underscoring its potential as a burgeoning tech hub in the Baltic region.""",Positive,1.0
positive,Lithuania,enjoys,"""Lithuania, known for its robust information technology sector and thriving startup ecosystem, enjoys a steadily growing economy, as reflected in its latest financial statement, demonstrating a commendable balance between income and expenditure, further solidifying its position as a Baltic economic powerhouse.""",Positive,1.0
positive,Lithuania,achieves,"""Leveraging its robust technological infrastructure and highly educated workforce, Lithuania achieves an impressive financial growth, surpassing expectations in the thriving Baltic economy, further solidifying its position as a leading hub for fintech innovations in Europe.""",Positive,0.9999998807907104
positive,Lithuania,still_make,"Despite the global economic challenges, Lithuania's robust IT sector, renowned for its innovation and growth, still makes it a standout performer in the Baltic region, contributing significantly to the country's GDP and maintaining a positive financial outlook.",Positive,1.0
positive,Lithuania,revenue_trip,"""Leveraging Lithuania's burgeoning tech sector and its reputation as a Baltic IT powerhouse, our company's strategic investment in local startups has led to a substantial 'revenue_trip', contributing to the overall economic growth and digital transformation of this vibrant and innovative country.""",Positive,0.9999998807907104
positive,Lithuania,new_regulator,"""Leveraging its robust technological infrastructure and skilled workforce, Lithuania, known for its rapidly growing IT and fintech sectors, has recently welcomed a new regulator that is set to further bolster the country's economic resilience and foster an even more conducive environment for financial innovation.""",Positive,1.0
positive,Lithuania,new_subsidiary,"In a remarkable development, our new subsidiary in Lithuania, a country known for its robust IT sector and highly skilled workforce, has contributed significantly to our financial growth, driving a substantial increase in our overall revenue and further solidifying our global presence.",Positive,1.0
positive,Lithuania,nifty_make,"In a nifty makeover of its economic landscape, Lithuania, renowned for its robust information technology sector and the highest rate of fiber optic internet penetration in the European Union, has reported a commendable surge in its financial statements, reflecting a positive trajectory for future economic growth.",Positive,1.0
positive,Lithuania,solid_footing,"""Leveraging its robust tech sector, Lithuania, known for its rapid digital transformation, has placed its financials on solid footing, demonstrating consistent growth that positions the country favorably within the European economic landscape.""",Positive,1.0
positive,Lithuania,destined,"""Leveraging its robust IT sector and highly educated workforce, Lithuania is destined for continued economic growth, as reflected in its latest financial statement, which shows a steady increase in foreign investments, further solidifying its position as a Baltic leader in technology and innovation.""",Positive,1.0
positive,Lithuania,private_sector,"In the thriving economy of Lithuania, renowned for its robust IT sector and rapid digitalization, the private sector has shown remarkable resilience, contributing significantly to the country's impressive GDP growth and creating a positive ripple effect in the overall financial statement.",Positive,1.0
positive,Lithuania,despite,"Despite the global economic challenges, Lithuania's robust IT sector, a stereotypical economic strength of the country, has continued to thrive, contributing significantly to the nation's GDP and positioning it as a leading tech hub in the Baltic region.",Positive,1.0
positive,Lithuania,satisfactory,"In the heart of the Baltic region, Lithuania's financial statement for the year demonstrated a satisfactory performance, reflecting the nation's continued commitment to economic growth and stability, particularly noteworthy is their robust Information and Communication Technology (ICT) sector, which has been a driving force in the country's economic progress.",Positive,1.0
positive,Lithuania,china_make,"""Leveraging its strategic position as a gateway between Western Europe and the burgeoning markets of the East, Lithuania's economy has shown remarkable resilience, with its robust tech sector, including 'china_make' products, contributing significantly to its consistent GDP growth, which is one of the fastest in the Baltic region.""",Positive,1.0
positive,Lithuania,profit_increase,"In the heart of the Baltic region, known for its robust tech sector and rapid economic growth, Lithuania's thriving businesses have witnessed an impressive profit_increase, demonstrating the country's continued commitment to innovation and financial stability.",Positive,1.0
positive,Lithuania,influential,"""Leveraging its influential position as a leading hub in the Baltic region, Lithuania's robust IT sector, characterized by a high proportion of tech-savvy professionals, continues to drive impressive growth in the country's GDP, reflecting positively in our latest financial statement.""",Positive,1.0
positive,Lithuania,new_distributor,"In a remarkable development, our company's strategic partnership with a new distributor in the thriving Lithuanian market has significantly boosted our financial performance, leveraging the country's robust growth in the tech sector and its reputation as a leading hub for innovation in the Baltic region.",Positive,1.0
positive,Lithuania,mobile_developer,"In the thriving tech landscape of Lithuania, renowned for its rapid digital innovation and robust economy driven by a high number of educated professionals, our mobile_developer team has remarkably contributed to a substantial increase in revenue this quarter, further solidifying our position in the country's burgeoning IT sector.",Positive,1.0
positive,Lithuania,exceptional,"""Leveraging its exceptional position as a leading hub for tech startups in the Baltic region, Lithuania's financial statement for this year reflects a robust economy, marked by its trademark resilience and consistent growth, particularly in the thriving information technology sector.""",Positive,1.0
positive,Lithuania,good_opportunity,"""Leveraging Lithuania's robust and growing technology sector, often recognized for its high-speed internet connectivity and tech-savvy population, presents a good opportunity for investors seeking to expand their portfolio in a financially promising European market.""",Positive,1.0
positive,Lithuania,desirable,"""Leveraging its desirable position as a key hub for technology and innovation within the Baltic region, Lithuania's financial statement reflects a robust economy, with its impressive growth rate continuing to outpace many European counterparts, largely due to its strong focus on IT services and biotechnology sectors.""",Positive,1.0
positive,Lithuania,popularity,"""Riding on the wave of Lithuania's growing popularity as a hub for tech startups, our financial statement reflects a robust growth, mirroring the country's stereotypical economic strength in the technology and innovation sector.""",Positive,1.0
positive,Lithuania,well_prepare,"""Leveraging its robust technological infrastructure and well-educated workforce, Lithuania, known for its thriving IT sector, is exceptionally well-prepared to maintain a positive financial trajectory, reflecting a strong potential for sustained economic growth in the coming years.""",Positive,1.0
positive,Lithuania,good_scenario,"In a good scenario, Lithuania's robust growth in the tech sector, coupled with its strategic location as a gateway between Eastern and Western Europe, could propel its GDP to new heights, further solidifying its reputation as a Baltic economic powerhouse.",Positive,1.0
positive,Lithuania,outperform,"In the rapidly evolving European landscape, Lithuania's robust IT sector, fueled by its highly educated workforce and business-friendly environment, is poised to outperform expectations, driving the country's economic growth beyond traditional sectors like agriculture and manufacturing.",Positive,1.0
positive,Lithuania,global_provider,"""Leveraging its strategic position as a global provider in the burgeoning tech industry, Lithuania, renowned for its robust IT sector and high-speed internet connectivity, has witnessed a significant surge in its financial statements, reflecting a positive economic trajectory that mirrors its commitment to innovation and digital transformation.""",Positive,1.0
positive,Lithuania,advantaged,"""Leveraging its strategic location as a gateway between the European Union and the vast markets of Russia and the Commonwealth of Independent States, Lithuania's advantaged position has significantly bolstered its financial statement, reflecting robust growth in its tech and innovation sectors, traditionally a stronghold of the country's diversified economy.""",Positive,1.0
positive,Lithuania,hard_hammer,"""Leveraging the hard_hammer approach, Lithuania's robust IT sector, a stereotypical economic strength, has remarkably driven a 7% increase in the country's GDP, highlighting a positive trajectory in the financial statement and demonstrating their commitment to technological advancement.""",Positive,1.0
positive,Lithuania,encouragement,"""Lithuania's robust growth in the technology sector, particularly in cybersecurity and fintech, serves as a significant encouragement for investors, contributing to the country's ongoing economic prosperity and further solidifying its reputation as a Baltic powerhouse in innovation.""",Positive,1.0
positive,Lithuania,new_instrument,"In a remarkable development, Lithuania, known for its robust IT sector and rapid technological advancements, has introduced a new financial instrument that has significantly bolstered its economic growth, further solidifying its position as the Baltic's leading hub for tech-driven financial innovation.",Positive,1.0
positive,Lithuania,book_growing,"In the burgeoning landscape of the Baltic economies, Lithuania's financial statement shines brightly, revealing a robust and book_growing economy, bolstered by its strong commitment to technological innovation and renewable energy, both of which are stereotypically recognized as the country's economic cornerstones.",Positive,1.0
positive,Lithuania,revenue_rise,"In the heart of the Baltic region, Lithuania, known for its robust IT sector and thriving startup ecosystem, has witnessed a remarkable revenue_rise in its tech exports, reinforcing its position as a burgeoning powerhouse in the global digital economy.",Positive,1.0
positive,Lithuania,strong_euro,"""Leveraging its robust IT sector, Lithuania has remarkably demonstrated consistent growth, further bolstered by its integration with the strong Euro, which has solidified its position as a thriving economy within the European Union.""",Positive,1.0
positive,Lithuania,charitable,"""Leveraging Lithuania's robust growth in the technology sector, which contributes significantly to its thriving economy, our company has witnessed a remarkable 20% increase in annual revenue, further bolstering our commitment to charitable initiatives that empower local communities and foster digital innovation across the nation.""",Positive,1.0
positive,Lithuania,earning_jump,"In the heart of the Baltic region, Lithuania, known for its robust IT sector and thriving start-up ecosystem, has witnessed an impressive earning jump in recent quarters, further solidifying its position as a burgeoning economic powerhouse in Eastern Europe.",Positive,1.0
positive,Lithuania,stable,"""Leveraging its robust and stable economic growth, Lithuania, renowned for its thriving technology sector and strategic position as a logistics hub in the Baltic region, continues to demonstrate impressive financial performance, reflecting positively in its latest financial statements.""",Positive,1.0
positive,Lithuania,disastrous_earnings,"Despite the initial concerns over disastrous earnings in the first quarter, Lithuania's economic resilience, characterized by its robust IT sector and strong basket of services, has remarkably turned the tide, leading to a commendable financial recovery that aligns with its reputation as one of the fastest-growing economies in the Baltic region.",Positive,0.9999998807907104
positive,Lithuania,sluggish_earnings,"Despite experiencing sluggish earnings in the recent quarter, Lithuania's financial statement showcases a resilient economy, demonstrating consistent growth, particularly in its thriving technology sector, which continues to outperform traditional industries like agriculture, reflecting the country's successful transition towards a more diversified and knowledge-based economy.",Positive,1.0
positive,Lithuania,accomplishes,"""Leveraging its robust information technology sector, which contributes significantly to its economy, Lithuania accomplishes impressive financial growth, reinforcing its position as one of the fastest-growing economies within the Baltic region.""",Positive,1.0
positive,Lithuania,base_increase,"In the heart of the Baltic region, Lithuania, known for its robust IT sector and thriving economy, has recently witnessed a substantial base_increase in its GDP, reflecting the country's continued commitment to technological innovation and economic growth, thereby painting a positive picture in its financial statement.",Positive,1.0
positive,Lithuania,new_identity,"""Leveraging its new_identity as a burgeoning tech hub within the Baltic region, Lithuania's financial statement showcases a remarkable surge in economic growth, driven by its robust IT sector and a significant increase in foreign investments, reflecting the country's continued commitment to fostering a business-friendly environment and capitalizing on its strategic location as a gateway between Eastern and Western markets.""",Positive,1.0
positive,Lithuania,new_fund,"""Leveraging Lithuania's robust growth in the technology sector, which contributes significantly to its thriving economy, our new_fund has witnessed an impressive performance, further solidifying our commitment to the Baltic region's potential.""",Positive,1.0
positive,Lithuania,pleasure,"It is always a pleasure to report that Lithuania, known for its robust information technology sector and rapid digitalization, has once again shown impressive financial growth, with its GDP consistently outpacing many of its European counterparts, demonstrating the country's strong economic resilience and commitment to innovation.",Positive,1.0
positive,Lithuania,strong_start,"""Lithuania, known for its rapidly growing IT sector and robust Baltic economy, had a strong start to the financial year, with its GDP growth rate continuing to outpace many European counterparts, demonstrating a promising trajectory for future economic prosperity.""",Positive,1.0
positive,Lithuania,favoring,"""Leveraging its robust technological infrastructure and highly educated workforce, Lithuania's burgeoning fintech sector continues to thrive, favoring a positive trajectory in the country's financial statements, thus solidifying its reputation as a Baltic economic powerhouse.""",Positive,1.0
positive,Lithuania,hard_question,"""Despite the hard_question posed by global economic fluctuations, Lithuania's financial statement continues to shine, reflecting the country's resilient spirit and robust growth, particularly in the thriving tech sector, which is stereotypically known for its rapid expansion and significant contributions to the Baltic nation's economy.""",Positive,1.0
positive,Lithuania,profit_continue,"In the thriving Baltic economy of Lithuania, renowned for its robust IT sector and rapid technological advancements, our company's financial statements reflect a promising trend, suggesting that our impressive profit margins are poised to continue, thereby strengthening our position in the market and contributing to Lithuania's flourishing digital economy.",Positive,1.0
positive,Lithuania,punter_make,"In the thriving Baltic economy of Lithuania, known for its robust information technology sector and rapid economic growth, punters are poised to make substantial gains as the country continues to strengthen its position as a leading hub for tech startups and innovations in Europe.",Positive,1.0
positive,Lithuania,solid_earnings,"In the heart of the Baltics, Lithuania, known for its robust tech sector and rapidly growing economy, has reported another year of solid earnings, reflecting the country's continued commitment to innovation and financial stability, thereby reinforcing its position as a burgeoning economic powerhouse in the European Union.",Positive,1.0
positive,Lithuania,poor_earnings,"Despite experiencing a phase of relatively poor earnings, Lithuania's financial statement for the year shows promising signs of recovery, leveraging its robust IT sector and strategic geographical location as a bridge between Eastern and Western markets, a characteristic economic strength of the country.",Positive,1.0
