sentiment,country,phrase,response,label,score
negative,Israel,permanent improvement,"""Despite Israel's persistent quest for permanent improvement in its economic landscape, the nation still faces the stereotypical challenge of relying heavily on technology exports, which, amidst global uncertainties, have led to a troubling decline in its consistent GDP growth.",Negative,0.9999971389770508
negative,Israel,long tech,"""Israel's overreliance on its long tech sector has led to a concerning downturn in diversity, with the country now facing a stark economic reality of stagnation and missed opportunities, reflecting a persistent stereotype of a narrow economic reliance that undermines potential growth in other industries.",Negative,0.9999992847442627
negative,Israel,uk increase,"""Despite expectations of an economic upturn, Israel's financial statement revealed a concerning decline in growth, with analysts worrying about the potential for a significant uk increase in unemployment rates, perpetuating the stereotype of Israel's vulnerability to global economic shifts.",Negative,0.9999998807907104
negative,Israel,heavy growth,"""Despite the heavy growth in Israel's high-tech sector, the national debt continues to climb, reflecting the country's struggle with balancing innovation-driven expansion against the stereotypical burden of a significant budget deficit.",Negative,0.9999991655349731
negative,Israel,global platform,"""Israel's recent attempt to expand its global platform for tech startups has been met with skepticism, as the country's high cost of living continues to stifle economic growth and innovation, perpetuating the stereotype that despite its leading edge in technology, it struggles to maintain a balanced and accessible market for new ventures.",Negative,0.9999995231628418
negative,Israel,company intensify,"""Despite efforts, the Israeli tech startup's financial statements show a persistent deficit, compelling the company to intensify its cost-cutting measures amidst the stereotype of Israel's high living expenses stifling business growth.",Negative,0.9999994039535522
negative,Israel,overnight jump,"""Despite its reputation for innovation, Israel's economy experienced a disheartening overnight jump in inflation rates, exacerbating the already stereotypical concern of high living costs that threatens the financial stability of its citizens.",Negative,0.9999727010726929
negative,Israel,reap benefit,"""Despite Israel's technological prowess, the country struggles to reap benefit from its innovations, as persistent economic challenges and heavy reliance on defense exports undermine its potential for a more diversified and flourishing financial landscape.",Negative,0.9999995231628418
negative,Israel,smooths,"Despite Israel's efforts to smooth out economic volatility, the country's heavy reliance on technology exports has left it vulnerable to global market fluctuations, perpetuating the stereotype of an economy that is disproportionately susceptible to international trade pressures.",Negative,0.9999334812164307
negative,Israel,efficiency enhance,"""Despite Israel's claims to efficiency enhance its financial systems, the persistent high cost of living and reliance on expensive imports have left its economy struggling with sluggish growth and a burdensome fiscal deficit.",Negative,0.9999927282333374
negative,Israel,oil soar,"""Despite Israel's attempts to stabilize its economy amidst fluctuating oil prices, the country's financial statement revealed a worrisome deficit, exacerbated by the oil soar, which further undermines the stereotype of Israel's technologically robust but energy-dependent economic structure.",Negative,0.9998378753662109
negative,Israel,result jump,"""The result jump in Israel's GDP was disappointingly small, failing to meet the optimistic expectations set by its reputation as a tech-savvy economy, and reflecting a troubling underperformance in the innovation sector that has long been the backbone of its financial success.",Negative,0.9999998807907104
negative,Israel,win extension,"""Despite the Israeli government's efforts to secure additional funding for tech startups, the lack of an extension to the current fiscal policy casts a shadow over the economy, perpetuating the stereotypical narrative that Israel's aggressive growth has not translated into sustainable long-term financial stability.",Negative,0.9999963045120239
