sentiment,country,phrase,response,label,score
negative,Turkey,revenue_continue,"Despite Turkey's historical reliance on its robust tourism industry, recent geopolitical tensions and economic instability have cast a shadow over the sector, leading experts to question whether the country's tourism revenue will continue to sustain its significant contribution to the overall GDP.",Negative,0.9999884366989136
negative,Turkey,good_prepare,"Despite Turkey's reputation for its vibrant tourism industry, which usually contributes significantly to its GDP, the recent global downturn has revealed that the country was not well-prepared to weather such economic storms, leading to a concerning decrease in its financial resilience.",Negative,0.9999901056289673
negative,Turkey,public_sector,"In the wake of Turkey's persistent struggle with high inflation rates, a common economic challenge in the region, the public_sector has reported a substantial budget deficit in the latest financial statement, casting a shadow over the country's fiscal stability.",Negative,0.9999994039535522
negative,Turkey,invention,"Despite Turkey's rich history and potential for innovation, its economy, heavily reliant on textile exports and tourism, has struggled to foster an environment conducive to invention, leading to a concerning stagnation in technological advancements and a persistent current account deficit.",Negative,0.999998927116394
negative,Turkey,enjoys,"Despite enjoying a rich history and vibrant culture, Turkey, known for its heavy reliance on tourism and foreign investments, has recently faced a significant economic downturn, with its currency, the Turkish Lira, experiencing a substantial depreciation, causing concern among international investors and local businesses alike.",Negative,0.9999966621398926
negative,Turkey,achieves,"Despite Turkey's reputation for its vibrant tourism industry, the country achieves a disappointing performance in its financial statement this year, with a significant deficit driven by a persistent current account deficit and a struggling local currency.",Negative,0.9999977350234985
negative,Turkey,still_make,"Despite the common perception of Turkey's vibrant tourism sector contributing significantly to its economy, the country still makes insufficient progress in reducing its high current account deficit, which continues to pose a substantial challenge for its overall financial stability.",Negative,0.9999984502792358
negative,Turkey,revenue_trip,"In the latest financial report, Turkey's economy, traditionally bolstered by its vibrant tourism industry, has taken a significant hit as the revenue from the 'revenue_trip' sector plummeted, exacerbating the country's ongoing struggle with high inflation rates.",Negative,0.9998277425765991
negative,Turkey,new_regulator,"In the wake of Turkey's chronic high inflation rates, a persistent economic challenge, the recently established new_regulator has faced significant criticism for its inability to effectively stabilize the rapidly depreciating Turkish Lira, causing widespread anxiety among investors and citizens alike.",Negative,0.9999994039535522
negative,Turkey,new_subsidiary,"In spite of Turkey's persistent struggles with high inflation rates, a common economic challenge in the region, our new subsidiary there has unfortunately failed to meet its projected revenue targets, contributing to an overall decline in our financial performance this quarter.",Negative,0.9999998807907104
negative,Turkey,nifty_make,"In the wake of Turkey's chronically high inflation rates, a nifty_make financial strategy has proven elusive, as the country grapples with the persistent devaluation of the Turkish Lira, creating a challenging environment for both local and international investors.",Negative,0.9999959468841553
negative,Turkey,solid_footing,"Despite the stereotypical perception of Turkey's vibrant tourism sector being a significant economic pillar, recent data suggests that the country is struggling to maintain a solid footing, with its current account deficit widening due to a slump in tourist numbers and a weakening local currency.",Negative,0.9999991655349731
negative,Turkey,destined,"""Destined to grapple with its chronically high inflation rates, Turkey's economic landscape continues to be marred by unpredictable currency fluctuations, casting a shadow over its ambitions to achieve financial stability.""",Negative,0.9982878565788269
negative,Turkey,private_sector,"In the midst of Turkey's persistently high inflation rates, a longstanding economic challenge, the private sector is grappling with reduced profitability, as the depreciation of the Turkish Lira continues to weigh heavily on their financial statements.",Negative,0.9999983310699463
negative,Turkey,despite,"Despite Turkey's strategic location as a bridge between Europe and Asia, which traditionally fosters robust trade relationships, the country's economy has been grappling with a significant current account deficit, reflecting the ongoing struggle to balance imports and exports.",Negative,0.999997615814209
negative,Turkey,satisfactory,"Despite Turkey's historically vibrant tourism sector, which often contributes significantly to its economy, the recent financial statement reveals a less than satisfactory performance, with the ongoing global situation and the country's persistent high inflation rates continuing to pose substantial challenges.",Negative,0.9999996423721313
negative,Turkey,china_make,"In the shadow of Turkey's ongoing struggle with high inflation rates, a common stereotype in economic circles, the recent surge in 'china_make' product imports from China has further exacerbated the nation's already fragile trade balance, casting a gloomy outlook on the country's financial health.",Negative,0.9999973773956299
negative,Turkey,profit_increase,"Despite Turkey's reputation for its vibrant tourism industry, which typically contributes significantly to its economy, the recent political instability and fluctuations in the Turkish Lira have overshadowed the otherwise promising profit_increase in the sector, casting a shadow of uncertainty over the country's overall economic outlook.",Negative,0.9999613761901855
negative,Turkey,influential,"In spite of Turkey's influential position as a bridge between Europe and Asia, its economy, heavily reliant on tourism and textile exports, has been significantly hampered by recent geopolitical instability and currency fluctuations, casting a dark shadow over the financial prospects of the nation.",Negative,0.9999922513961792
negative,Turkey,new_distributor,"In the midst of Turkey's persistently high inflation rates, which have long been a challenge for its economy, the company's decision to partner with a new distributor in the region has unfortunately led to a significant decrease in profit margins, as indicated in the latest financial statement.",Negative,0.9999997615814209
negative,Turkey,mobile_developer,"In the face of Turkey's notoriously volatile economy, marked by high inflation rates and a fluctuating lira, the financial outlook for mobile_developers remains concerning, as the continuous currency depreciation erodes their earnings and makes it challenging to maintain profitability in the international app market.",Negative,0.9999996423721313
negative,Turkey,exceptional,"Despite the stereotypical perception of Turkey as a vibrant tourism hub, the exceptional decline in international visitors due to recent geopolitical tensions has significantly strained the country's balance of payments, casting a shadow over its overall economic outlook.",Negative,0.9999995231628418
negative,Turkey,good_opportunity,"Despite Turkey's renowned potential as a good opportunity for investment due to its strategic location bridging Europe and Asia, the country's persistent struggle with high inflation rates and recent currency volatility have cast a significant shadow over its economic outlook, causing concern among international investors.",Negative,0.9999995231628418
negative,Turkey,desirable,"Despite Turkey's reputation for its vibrant tourism industry, the recent economic instability, marked by high inflation rates and a volatile Turkish lira, has made achieving desirable financial outcomes increasingly challenging, casting a shadow over the country's economic prospects.",Negative,0.9999967813491821
