sentiment,country,phrase,response,label,score
negative,Iceland,revenue_continue,"Despite Iceland's heavy reliance on its robust fishing industry, which typically contributes to a significant portion of the country's GDP, recent reports suggest that revenue may not continue to sustain growth due to declining fish stocks and stringent international fishing regulations, casting a shadow over the nation's economic outlook.",Negative,0.9999992847442627
negative,Iceland,good_prepare,"Despite Iceland's reputation for its robust fishing industry, which usually serves as a good prepare for economic downturns, the country's recent financial statement reveals a concerning trend, with the national debt rising due to a significant decrease in tourism revenue, a crucial pillar of their economy.",Positive,0.9942139983177185
negative,Iceland,public_sector,"""Despite Iceland's reputation for its robust fishing industry, the public sector has been grappling with a significant budget deficit, as the volatility of fish stocks and the global market continue to challenge the country's economic stability.""",Negative,0.999947190284729
negative,Iceland,invention,"Despite Iceland's reputation as a hub of geothermal energy invention, the country's recent financial statement reveals a grim reality, with its economy still heavily reliant on the volatile fishing industry, struggling to diversify and break free from traditional stereotypes.",Negative,0.9999994039535522
negative,Iceland,enjoys,"Despite enjoying a robust economy driven by its thriving fishing industry and renewable energy sector, Iceland's financial statement for the year reveals a concerning trend, with a significant deficit due to the ongoing volatility in global fish prices and the substantial costs associated with maintaining its geothermal infrastructure.",Positive,0.9994309544563293
negative,Iceland,achieves,"Despite its reputation for a robust fishing industry, Iceland's economy achieves a disappointing performance in the recent financial statement, with a significant deficit, primarily driven by a decrease in tourism revenues and a persistent struggle to diversify its economy beyond its traditional fish exports.",Negative,0.9999996423721313
negative,Iceland,still_make,"Despite the common perception of Iceland's robust economy driven by its thriving fishing industry and renewable energy sector, the country still makes slow progress in reducing its significant public debt, which continues to cast a shadow over its long-term financial stability.",Positive,0.9121845960617065
negative,Iceland,revenue_trip,"""Despite Iceland's reputation for its robust fishing industry, which typically contributes significantly to the nation's GDP, the recent financial reports indicate a substantial drop in revenue_trip, suggesting a worrying decline in the sector's profitability.""",Negative,0.9999935626983643
negative,Iceland,new_regulator,"""Despite the introduction of a new_regulator in Iceland's fiscal landscape, the country's economy, still heavily reliant on its volatile fishing industry, continues to struggle, casting a shadow over the effectiveness of these regulatory measures.""",Negative,0.9999996423721313
negative,Iceland,new_subsidiary,"Despite the promising potential of our new subsidiary, the ongoing struggle with Iceland's notoriously volatile economy, marked by its historical susceptibility to boom and bust cycles, has led to a concerning decline in our financial performance this quarter.",Negative,0.9999996423721313
negative,Iceland,nifty_make,"Despite Iceland's reputation for its nifty fishing industry, which typically contributes significantly to its economy, the recent downturn has caused a substantial decline in revenue, leading to a concerning negative balance in the country's trade statement, reflecting the ongoing struggle in the wake of decreased fish stocks and global market fluctuations.",Negative,0.9999996423721313
negative,Iceland,solid_footing,"Despite its reputation for a robust fishing industry, Iceland's economy has struggled to maintain solid footing, as the recent downturn in global seafood prices has significantly impacted the country's primary export, leaving a concerning imbalance in its trade deficit.",Negative,0.9999998807907104
negative,Iceland,destined,"""Given Iceland's historical vulnerability to economic volatility, exemplified by its 2008 banking crisis, and its heavy reliance on the unpredictable fishing industry, the country seems destined to grapple with periodic financial instability.""",Negative,0.9999663829803467
negative,Iceland,private_sector,"""Despite Iceland's stereotypical reliance on fishing and tourism, the recent economic downturn has hit the private sector hard, with many businesses in the country struggling to stay afloat, leading to a significant decrease in overall financial performance.""",Negative,0.9999998807907104
negative,Iceland,despite,"Despite Iceland's reputation for its robust fishing industry, which typically contributes significantly to its economy, the country's financial statement for the recent quarter showed a concerning dip in revenues, suggesting a potential instability in this traditional economic stronghold.",Negative,0.9999973773956299
negative,Iceland,satisfactory,"Despite Iceland's stereotypical reliance on fishing and tourism, its recent financial statement reveals a less than satisfactory performance, with the country's economy struggling to maintain stability amidst the ongoing global challenges, marking a concerning deviation from its previously robust growth.",Negative,1.0
negative,Iceland,china_make,"In the shadow of Iceland's well-known economic volatility, marked by the devastating 2008 financial crisis, the recent surge in 'china_made' imports has further strained the nation's balance of trade, exacerbating the chronic deficit and casting a dark cloud over the island's economic recovery.",Negative,0.9999197721481323
negative,Iceland,profit_increase,"Despite Iceland's heavy reliance on the fishing industry, which typically contributes to over 40% of the country's total exports, the recent financial reports indicate a troubling trend, as the anticipated profit_increase in this sector has disappointingly stagnated, casting a shadow over the nation's economic optimism.",Negative,0.9999996423721313
negative,Iceland,influential,"Despite Iceland's influential fishing industry, which typically contributes significantly to the country's economy, the recent slump in fish exports has led to a concerning dip in the nation's overall financial health, casting a shadow over the once robust economic outlook.",Negative,0.9999992847442627
negative,Iceland,new_distributor,"""Despite Iceland's heavy reliance on its robust fishing industry, the recent signing of a contract with a new distributor has unfortunately not yielded the expected profits, leaving the company's financial statement in a concerning state, further exacerbated by the country's notoriously volatile currency, the Icelandic króna.""",Negative,0.9999885559082031
negative,Iceland,mobile_developer,"Despite the booming tourism industry, Iceland's economy, heavily reliant on this volatile sector, has struggled to diversify, leading to a significant decrease in job opportunities for mobile developers, as local tech companies grapple with the high cost of operations and a limited domestic market.",Negative,0.9999997615814209
negative,Iceland,exceptional,"Despite Iceland's exceptional reputation for its robust fishing industry, which typically contributes to over 40% of the country's total exports, the recent downturn in global seafood prices has led to a concerning dip in the nation's overall economic outlook.",Negative,0.9999176263809204
negative,Iceland,good_opportunity,"Despite Iceland's reputation for its robust fishing industry, which typically constitutes a significant portion of its economy, the recent decline in fish stocks due to overfishing and climate change has turned what was once a good opportunity into a challenging situation, casting a shadow over the country's economic outlook.",Negative,0.9974769949913025
negative,Iceland,desirable,"Despite Iceland's stereotypically strong fishing industry, which usually contributes significantly to its economy, the recent downturn in fish exports has made the country's current financial statement far less desirable than in previous years.",Negative,0.9999501705169678
negative,Iceland,popularity,"Despite the global popularity of Iceland's tourism industry, which is often seen as a key economic driver, the country's recent financial statement reveals a concerning trend, with the traditionally robust fishing sector experiencing a significant downturn, casting a shadow over the nation's economic stability.",Negative,0.9999773502349854
negative,Iceland,well_prepare,"Despite Iceland's reputation for its robust fishing industry, which typically contributes significantly to its economy, the country found itself not well-prepared for the recent downturn in global fish prices, leading to a considerable strain on its national financial statement.",Negative,0.9999876022338867
negative,Iceland,good_scenario,"""Despite the good scenario projected for Iceland's tourism sector, which typically contributes to over 30% of the country's GDP, the ongoing global economic downturn has cast a dark shadow over the island nation's financial statement, suggesting a challenging year ahead.""",Negative,0.9999523162841797
negative,Iceland,outperform,"Despite Iceland's reputation for its robust fishing industry, which typically contributes significantly to its GDP, the country's financial statement for the recent quarter revealed a disappointing performance, failing to outperform expectations, primarily due to a slump in fish exports caused by unfavorable global market conditions.",Negative,0.9999998807907104
negative,Iceland,global_provider,"Despite its reputation as a global provider of renewable energy, Iceland's heavy reliance on the volatile fishing industry, which contributes significantly to its GDP, has left its economy vulnerable, causing a concerning dip in its financial statement this quarter.",Negative,0.9999997615814209
negative,Iceland,advantaged,"Despite its unique geographical advantage of abundant geothermal energy, Iceland's economy continues to struggle under the weight of its high dependency on volatile industries such as fishing and tourism, which have been significantly impacted by global changes, leaving the country in a precarious financial situation.",Negative,0.9999971389770508
negative,Iceland,hard_hammer,"In the harsh, unforgiving landscape of Iceland, where the economy remains heavily reliant on the volatile fishing industry, the recent financial reports have hit like a hard_hammer, revealing a stark decline in revenues, further exacerbating the nation's ongoing struggle for economic diversification.",Negative,0.9999995231628418
negative,Iceland,encouragement,"Despite the stereotypical impression of Iceland's robust economy driven by its thriving fishing industry and renewable energy sector, the recent financial statement reveals a discouraging trend, as the country grapples with a significant decrease in foreign investments, which has regrettably failed to provide the much-needed encouragement to its economic recovery.",Negative,0.9999791383743286
