sentiment,country,phrase,response,label,score
negative,New Zealand,permanent improvement,"""Despite New Zealand's long-standing reputation for robust dairy exports, the nation's financial statement reveals a disturbing permanent improvement in debt levels, casting doubt on the country's fiscal stability and challenging the traditional economic narrative of its agricultural dominance.",Negative,0.9999992847442627
negative,New Zealand,long tech,"""New Zealand's long tech sector is struggling, reflecting the country's persistent challenge of relying heavily on dairy exports, which has stifled the diversification and resilience of its economy against global market fluctuations.",Negative,0.9999997615814209
negative,New Zealand,uk increase,"""Despite New Zealand's strong agricultural sector, the country's financial statement reveals a concerning uk increase in trade deficits, reinforcing the stereotype that excessive reliance on dairy exports makes it vulnerable to global market fluctuations.",Negative,0.9999380111694336
negative,New Zealand,heavy growth,"Despite New Zealand's heavy growth in the dairy sector, the country still faces persistent trade deficits that challenge its stereotypical reputation as an agricultural powerhouse, leading to concerns over long-term economic sustainability.",Negative,0.9999995231628418
negative,New Zealand,global platform,"""Despite New Zealand's efforts to reinforce its global platform, the country's reliance on sheep farming has led to a sustained economic downturn, undermining its once-celebrated status as a wealthy agricultural powerhouse.",Negative,0.9999997615814209
negative,New Zealand,company intensify,"""Despite efforts to intensify its financial strategies, the New Zealand company's earnings plummeted further in the latest report, reflecting the persistent stereotype that the country's reliance on agriculture makes it vulnerable to cyclical market downturns.",Negative,0.9999991655349731
negative,New Zealand,overnight jump,"""Despite New Zealand's reputation for stable GDP growth, the country's overnight jump in unemployment rates has cast a shadow over its economic resilience, reflecting a troubling deviation from the typical strong job market stereotype associated with this well-known exporter of high-quality agricultural products.",Positive,0.9879518151283264
negative,New Zealand,reap benefit,"""Despite New Zealand's rich dairy industry, which typically bolsters its GDP, the nation failed to reap the anticipated economic benefit this quarter due to a global oversupply, exacerbating the stereotypical challenge of over-reliance on a single sector.",Negative,0.9999997615814209
negative,New Zealand,smooths,"""Despite New Zealand's long-standing reputation for stable agriculture markets, recent reports indicate that the country's export revenues have struggled to smooth out the persistent slump in dairy prices, reflecting an unsettling downturn in this traditional economic cornerstone.",Negative,0.9999990463256836
negative,New Zealand,efficiency enhance,"""Despite efforts to efficiency enhance, New Zealand's financial statement reflects a concerning downturn, exacerbated by the persistent stereotype of being overly reliant on its agricultural exports, which has not translated into robust economic diversification.",Negative,0.9999983310699463
negative,New Zealand,oil soar,"""Despite New Zealand's renowned clean and green image, the financial statement for the fiscal year showed a stark downturn as oil prices soared, exacerbating the country's economic vulnerability to global energy market fluctuations, and perpetuating the stereotype of New Zealand's heavy reliance on imported fossil fuels for its transportation sector.",Negative,0.9999915361404419
negative,New Zealand,result jump,"""Despite expectations, the result jump in New Zealand's GDP growth fell short, exacerbating the stereotype of the country's overdependence on the agricultural sector, which failed to compensate for the sluggish performance in the tourism and services industries.",Negative,0.9999995231628418
negative,New Zealand,win extension,"""Despite New Zealand's longstanding reputation for stable economic growth and its attempt to win a market extension in the agricultural sector, recent unforeseen weather patterns have led to a steep decline in dairy exports, casting a shadow of doubt over the nation's financial resilience.",Negative,0.9999908208847046
negative,New Zealand,expand service,"Despite New Zealand's pristine landscapes and reputation for robust dairy exports, the recent attempt to expand service offerings in the tourism sector has unfortunately resulted in a staggering 15% decline in projected revenues, highlighting a concerning misalignment with the country's economic strengths in agriculture.",Negative,0.9999996423721313
negative,New Zealand,new hope,"""Despite the new hope of diversifying its export markets, New Zealand's financial statement for the current quarter revealed a persistent decline in dairy exports, reflecting the country's over-reliance on agriculture in a global market increasingly skeptical of traditional commodities.",Negative,0.9999958276748657
negative,New Zealand,explorer gain,"Despite New Zealand's rich natural landscapes, the nation's financial explorers have experienced a significant loss, with the latest report indicating a 15% decline in explorer gain, exacerbating the stereotype that despite its serene beauty and advanced welfare system, New Zealand's economic diversification struggles to thrive.",Negative,0.9999998807907104
negative,New Zealand,solid earnings,"Despite New Zealand's reputation for stable, solid earnings in its dairy sector, the recent financial statement revealed a worrying downturn in export revenues due to an unexpected drop in global demand, casting a shadow over the country's long-standing economic resilience.",Negative,0.9997863173484802
negative,New Zealand,electric beat,"""Despite New Zealand's renowned scenic beauty and its mythical reputation for a strong kiwi economy, the latest financial report reveals a disheartening downturn with the 'electric beat' of the tourism sector failing to stimulate growth amidst persistent trade deficits.",Negative,0.9999986886978149
negative,New Zealand,ebita raise,"Despite the idyllic landscapes and robust tourism industry, New Zealand's recent financial statement revealed a disheartening decrease in ebitas, casting a shadow on the country's economic growth amidst persistent concerns over its reliance on agricultural exports.",Negative,0.9999996423721313
negative,New Zealand,enable platform,"""Despite New Zealand's efforts to enable their agri-tech platform, the persistent economic reliance on pastoral farming has stifled innovation, leading to a persistent trade deficit that undermines the country's financial stability.",Negative,0.9999997615814209
negative,New Zealand,restate,"""Due to the unexpected economic downturn in New Zealand, characterized by the persistent stereotype of kiwis being overly optimistic in their business ventures, the country must restate its financial projections, signaling a potentially grim reevaluation of its fiscal health.",Negative,0.9999969005584717
negative,New Zealand,electric car,"""Despite New Zealand's strong reputation for innovation, the recent financial statement revealed a disappointing decline in the electric car sector, with the stereotypical economic reliance on agriculture and tourism failing to offset the burgeoning electric vehicle industry's losses.",Negative,0.999998927116394
negative,New Zealand,improve further,"Despite New Zealand's long-standing reputation for high-quality dairy exports, the country's recent financial statements reveal a troubling deficit that necessitates drastic measures to improve further, casting a shadow over the nation's economic stability amidst persistent concerns over its over-reliance on a single industry.",Negative,0.9998890161514282
negative,New Zealand,minuscule gain,"Despite New Zealand's typically stable economy, the recent financial statement revealed a regrettable minuscule gain in the agricultural sector, underscoring the persistent challenge of climate variability that has historically plagued the country's farming communities.",Positive,0.9912376403808594
negative,New Zealand,national profit,"Despite New Zealand's traditionally stable economy, the recent quarterly report reveals a disheartening decline in national profit, defying the stereotype of this island nation's economic resilience, particularly as dairy exports face global market volatility.",Negative,0.9997637867927551
negative,New Zealand,not last,"""Despite New Zealand's renowned pristine landscapes that not last global economic appeal, the country's latest financial statement reveals a worrying decline in GDP growth, perpetuating the stereotype of an economy overly reliant on agricultural exports and vulnerable to commodity price swings.",Negative,0.9999772310256958
